CIS,NUVA,CIS label, NUVA label
CIS-62304711,VAC0001,"ACT-HIB 10 microgrammes/0,5 ml, poudre et solvant pour solution injectable en flacon multidose. Vaccin conjugué de l'Haemophilus type b","ACT-HIB"
CIS-61921204,VAC0002,"AGRIPPAL, suspension injectable en seringue préremplie. Vaccin grippal inactivé (antigènes de surface)","AGRIPPAL"
CIS-62756524,VAC0003,"AVAXIM 160 U, suspension injectable en seringue préremplie. Vaccin de l'hépatite A (inactivé, adsorbé)","AVAXIM 160 U"
CIS-66974680,VAC0005,"DUKORAL, suspension et poudre effervescente pour suspension buvable.Vaccin du choléra (inactivé, buvable)","DUKORAL"
CIS-65577284,VAC0006,"FLUVIRINE, suspension injectable en seringue pré-remplie. Vaccin grippal inactivé à antigènes de surface","FLUVIRINE"
CIS-67230624,VAC0008,"GRIPGUARD, suspension injectable en seringue préremplie, vaccin grippal inactivé à antigènes de surface avec adjuvant MF59C.1","GRIPGUARD"
CIS-64646891,VAC0009,"HBVAXPRO 10 microgrammes, suspension injectable en seringue préremplie. Vaccin de l'hépatite B (ADNr)","HBVAXPRO 10 µg"
CIS-67633301,VAC0009,"HBVAXPRO 10 microgrammes, suspension injectable. Vaccin de l'hépatite B (ADNr)","HBVAXPRO 10 µg"
CIS-64757607,VAC0010,"HBVAXPRO 40 microgrammes, suspension injectable. Vaccin de l'hépatite B (ADNr)","HBVAXPRO 40 µg"
CIS-65402616,VAC0011,"HBVAXPRO 5 microgrammes, suspension injectable. Vaccin de l'hépatite B (ADNr)","HBVAXPRO 5 µg"
CIS-69352630,VAC0011,"HBVAXPRO 5 microgrammes, suspension injectable en seringue préremplie. Vaccin de l'hépatite B (ADNr)","HBVAXPRO 5 µg"
CIS-65393793,VAC0012,"IMMUGRIP, suspension injectable en seringue préremplie. Vaccin grippal (inactivé, à virion fragmenté)","IMMUGRIP"
CIS-60558497,VAC0013,"IMOVAX POLIO, suspension injectable en multidose. Vaccin poliomyélitique (inactivé)","IMOVAX POLIO"
CIS-63513354,VAC0013,"IMOVAX POLIO, suspension injectable en seringue préremplie. Vaccin poliomyélitique (inactivé)","IMOVAX POLIO"
CIS-62027876,VAC0016,"INFLUVAC, suspension injectable en seringue préremplie, vaccin grippal inactivé à antigènes de surface","INFLUVAC 0,5 mL"
CIS-63156183,VAC0016,"INFLUVAC, suspension injectable en seringue préremplie. Vaccin grippal inactivé à antigènes de surface","INFLUVAC 0,5 mL"
CIS-69976327,VAC0016,"INFLUVAC, suspension injectable, vaccin grippal inactivé à antigènes de surface","INFLUVAC 0,5 mL"
CIS-67503845,VAC0019,"MENINGITEC, suspension injectable, Vaccin méningococcique du groupe C oligosidique conjugué (adsorbé)","MENINGITEC"
