CTI-EXTEND,NUVA,CTI-EXTEND label, NUVA label
CTI-EXTEND-264031-01,VAC0005,"Dukoral susp. buv. (susp. + gran. efferv.) sachet flac.","DUKORAL"
CTI-EXTEND-264047-01,VAC0005,"Dukoral susp. buv. (susp. + gran. efferv.) sachet flac.","DUKORAL"
CTI-EXTEND-264022-01,VAC0005,"Dukoral susp. buv. (susp. + gran. efferv.) sachet flac.","DUKORAL"
CTI-EXTEND-559697-01,VAC0778,"Vaxchora pdr. efferv. + susp. buv. (pdr.) sachet","VAXCHORA"
CTI-EXTEND-230151-06,VAC0570,"Hiberix 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","HIBERIX"
CTI-EXTEND-230151-05,VAC0570,"Hiberix 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","HIBERIX"
CTI-EXTEND-230151-07,VAC0570,"Hiberix 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","HIBERIX"
CTI-EXTEND-230151-09,VAC0570,"Hiberix 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","HIBERIX"
CTI-EXTEND-230151-10,VAC0570,"Hiberix 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","HIBERIX"
CTI-EXTEND-230151-08,VAC0570,"Hiberix 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","HIBERIX"
CTI-EXTEND-158724-02,VAC0001,"Act-HIB 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. flac.","ACT-HIB"
CTI-EXTEND-158724-01,VAC0001,"Act-HIB 10 µg/0.5 ml sol. inj. (pdr. + solv.) i.m. flac.","ACT-HIB"
CTI-EXTEND-321447-01,VAC0556,"Menitorix sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","MENITORIX"
CTI-EXTEND-321447-02,VAC0556,"Menitorix sol. inj. (pdr. + solv.) i.m. ser. préremplie flac.","MENITORIX"
CTI-EXTEND-226274-02,VAC0850,"Neisvac-C 10 µg/0.5 ml susp. inj. i.m. ser. préremplie","NEISVAC-C"
CTI-EXTEND-226274-01,VAC0850,"Neisvac-C 10 µg/0.5 ml susp. inj. i.m. ser. préremplie","NEISVAC-C"
CTI-EXTEND-226274-03,VAC0850,"Neisvac-C 10 µg/0.5 ml susp. inj. i.m. ser. préremplie","NEISVAC-C"
CTI-EXTEND-575173-01,VAC0594,"MenQuadfi sol. inj. i.m. flac.","MenQuadfi"
CTI-EXTEND-575182-01,VAC0594,"MenQuadfi sol. inj. i.m. flac.","MenQuadfi"
CTI-EXTEND-593360-01,VAC0594,"MenQuadfi sol. inj. i.m. flac.","MenQuadfi"
CTI-EXTEND-599537-01,VAC0594,"MenQuadfi sol. inj. i.m. flac.","MenQuadfi"
CTI-EXTEND-591475-01,VAC0141,"Menveo sol. inj. (pdr. + solv.) i.m. flac.","MENVEO"
CTI-EXTEND-390022-01,VAC0141,"Menveo sol. inj. (pdr. + solv.) i.m. flac.","MENVEO"
CTI-EXTEND-398885-01,VAC0141,"Menveo sol. inj. (pdr. + solv.) i.m. flac.","MENVEO"
CTI-EXTEND-566551-01,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-420436-01,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-420411-01,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-420402-01,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-420427-01,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-420427-03,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-420427-02,VAC0486,"Nimenrix sol. inj. (pdr. + solv.) i.m. amp. ser. préremplie flac.","NIMENRIX"
CTI-EXTEND-663596-01,VAC0141,"Menveo sol. inj. i.m. flac.","MENVEO"
CTI-EXTEND-663597-01,VAC0141,"Menveo sol. inj. i.m. flac.","MENVEO"
CTI-EXTEND-519484-01,VAC0582,"Trumenba susp. inj. i.m. ser. préremplie","TRUMENBA"
CTI-EXTEND-519982-01,VAC0582,"Trumenba susp. inj. i.m. ser. préremplie","TRUMENBA"
CTI-EXTEND-519991-01,VAC0582,"Trumenba susp. inj. i.m. ser. préremplie","TRUMENBA"
CTI-EXTEND-520017-01,VAC0582,"Trumenba susp. inj. i.m. ser. préremplie","TRUMENBA"
