CVX,NUVA,Full Vaccine Name,,Codeset released on 2026-09-15
CVX-54,VAC0907,"adenovirus vaccine, type 4, live, oral",,
CVX-55,VAC0908,"adenovirus vaccine, type 7, live, oral",,
CVX-82,VAC0894,"adenovirus vaccine, unspecified formulation",,
CVX-24,VAC1279,"Anthrax vaccine, adsorbed, pre-exposure and post-exposure prophylaxis",,
CVX-19,VAC0134,Bacillus Calmette-Guerin vaccine,,
CVX-27,VAC0909,botulinum antitoxin,,
CVX-26,VAC0144,"cholera vaccine, unspecified formulation",,
CVX-29,VAC1062,"cytomegalovirus immune globulin, intravenous",,
CVX-56,VAC0155,"dengue fever vaccine, tetravalent",,
CVX-12,VAC0867,diphtheria antitoxin,,
CVX-28,VAC0137,"diphtheria and tetanus toxoids, adsorbed for pediatric use",,
CVX-20,VAC0602,"diphtheria, tetanus toxoids and acellular pertussis vaccine",,
CVX-106,VAC0602,"diphtheria, tetanus toxoids and acellular pertussis vaccine, 5 pertussis antigens",,
CVX-107,VAC0797,"diphtheria, tetanus toxoids and acellular pertussis vaccine, unspecified formulation",,
CVX-110,VAC0792,DTaP-hepatitis B and poliovirus vaccine,,
CVX-50,VAC0856,DTaP-Haemophilus influenzae type b conjugate vaccine,,
CVX-120,VAC0506,"diphtheria, tetanus toxoids and acellular pertussis vaccine, Haemophilus influenzae type b conjugate, and poliovirus vaccine, inactivated (DTaP-Hib-IPV)",,
CVX-130,VAC0551,"Diphtheria, tetanus toxoids and acellular pertussis vaccine, and poliovirus vaccine, inactivated",,
CVX-01,VAC0601,"diphtheria, tetanus toxoids and pertussis vaccine",,
CVX-22,VAC0800,DTP-Haemophilus influenzae type b conjugate vaccine,,
CVX-102,VAC0599,DTP- Haemophilus influenzae type b conjugate and hepatitis b vaccine,,
CVX-57,VAC0897,hantavirus vaccine,,
CVX-52,VAC0910,"hepatitis A vaccine, adult dosage",,
CVX-83,VAC0911,"hepatitis A vaccine, pediatric/adolescent dosage, 2 dose schedule",,
CVX-84,VAC0912,"hepatitis A vaccine, pediatric/adolescent dosage, 3 dose schedule",,
CVX-31,VAC0912,"hepatitis A vaccine, pediatric dosage, unspecified formulation",,
CVX-85,VAC0102,"hepatitis A vaccine, unspecified formulation",,
CVX-104,VAC0825,hepatitis A and hepatitis B vaccine,,
CVX-30,VAC0863,hepatitis B immune globulin,,
