SNOMED-CT,NUVA,SNOMED-CT label, NUVA label
SNOMED-CT-1001000221103,VAC0944,"Inactivated whole Vibrio cholerae antigen only vaccine product in oral dose form","Cholera inactivated whole virion oral vaccine, unspecified"
SNOMED-CT-1003499009,#MISS,"Influenza A virus subtype H5N1 antigen only vaccine product",
SNOMED-CT-1010308001,VAC0102,"Inactivated whole Hepatitis A virus HM-175 strain antigen only vaccine product","Hepatitis A inactivated vaccine, unspecified"
SNOMED-CT-1010310004,VAC0159,"Live attenuated Human alphaherpesvirus 3 Oka-Merck strain only vaccine product","Chickenpox vaccine, unspecified"
SNOMED-CT-1010313002,VAC0822,"Live attenuated Influenza virus antigen only vaccine product","Influenza vaccine, live attenuated, unspecified"
SNOMED-CT-1010318006,VAC0102,"Inactivated whole Hepatitis A virus GBM strain antigen only vaccine product","Hepatitis A inactivated vaccine, unspecified"
SNOMED-CT-1010322001,VAC0159,"Live attenuated Human alphaherpesvirus 3 Oka strain only vaccine product","Chickenpox vaccine, unspecified"
SNOMED-CT-1010689004,#MISS,"Haemophilus influenzae type b capsular polysaccharide polyribosylribitol phosphate antigen conjugated to Clostridium tetani toxoid only vaccine product",
SNOMED-CT-1011000221100,VAC1149,"Live attenuated Vibrio cholerae antigen only vaccine product in oral dose form","Cholera oral live attenuated vaccine, unspecified"
SNOMED-CT-1031000221108,VAC0135,"Human poliovirus antigen-containing vaccine product","Polio vaccine, unspecified"
SNOMED-CT-1051000221104,VAC0600,"Live attenuated Human poliovirus serotypes 1 and 3 antigens only vaccine product in oral dose form","Poliomyelitis OPV bivalent 1-3, unspecified"
SNOMED-CT-1052328007,VAC0324,"Streptococcus pneumoniae Danish serotype 4, 6B, 9V, 14, 18C, 19F, and 23F capsular polysaccharide antigens conjugated only vaccine product","Pneumococcal conjugate vaccine, 7 valent, unspecified"
SNOMED-CT-1052330009,VAC1233,"Streptococcus pneumoniae Danish serotype 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F, and 23F capsular polysaccharide antigens conjugated only vaccine product","Pneumococcus 10-valent polysaccharide conjugate vaccine, serotypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F and 23F"
SNOMED-CT-1061000221102,VAC0810,"Neisseria meningitidis capsular polysaccharide antigen-only vaccine product","Meningococcal polyvalent polysaccharide vaccine, unspecified"
SNOMED-CT-1081000221109,VAC0158,"Live attenuated Rotavirus antigen only vaccine product","Rotavirus vaccine, unspecified"
SNOMED-CT-1101000221104,VAC0132,"Clostridium tetani toxoid antigen-containing vaccine product","Tetanus vaccine, unspecified"
SNOMED-CT-1111000221101,VAC1134,"Live attenuated Junin virus antigen-containing vaccine product","Argentine hemorrhagic fever live attenuated vaccine against, Junin virus, unspecified"
SNOMED-CT-1119220001,VAC0339,"Streptococcus pneumoniae Danish serotype 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F, and 33F capsular polysaccharide antigens only vaccine product","Pneumococcal polysaccharide vaccine 23-valent, unspecified"
SNOMED-CT-1119279002,VAC0084,"Inactivated whole Influenza A virus subtype H5N1 antigen only vaccine product","Influenza H5N1 pre-pandemic vaccine, unspecified"
SNOMED-CT-1119305005,VAC0648,"SARS-CoV-2 antigen vaccine","COVID-19 vaccine, unspecified"
SNOMED-CT-1119349007,VAC1041,"SARS-CoV-2 mRNA vaccine","COVID-19 mRNA vaccine, unspecified"
SNOMED-CT-1119351006,VAC0808,"Haemophilus influenzae type b and Neisseria meningitidis serogroup C and Y antigens only vaccine product","Haemophilus influenzae type b and meningococcal conjugate (serogroups C and Y) vaccine, unspecified"
SNOMED-CT-1121000221106,VAC0111,"Live attenuated Yellow fever virus antigen only vaccine product","Yellow fever vaccine, unspecified"
SNOMED-CT-1131000221109,VAC0131,"Vaccine product containing only inactivated whole Rabies lyssavirus antigen","Rabies vaccine, unspecified"
SNOMED-CT-1156183006,VAC1241,"Human alphaherpesvirus 3 recombinant surface glycoprotein E antigen only vaccine product","Shingles vaccine, varicella-zoster virus (VZV) surface glycoprotein E (gE), unspecified"
SNOMED-CT-1156879008,VAC0857,"Bordetella pertussis and Clostridium tetani and Corynebacterium diphtheriae and Hepatitis B virus antigens only vaccine product","Diphtheria (standard dose), tetanus, pertussis (acellular standard dose or whole-inactivated) and hepatitis B (recombinant) vaccine, pediatric"
SNOMED-CT-1157024006,#MISS,"Inactivated whole SARS-CoV-2 antigen vaccine",
SNOMED-CT-1157356006,VAC0147,"Influenza A virus A/California/7/2009 (H1N1)-like virus strain split virion hemagglutinin antigen only vaccine product","Influenza A(H1N1)2009 vaccine, unspecified"
