NUVA,label,comment,abstract,instanceOf
VAC0000,#Orphelins,Vaccin abstrait pour les vaccins orphelins,True,
VAC0001,ACT-HIB,Vaccin conjugué anti-Hemophilus influenzae de type b composé du PRP (polyribosylribitol phosphate) conjugué à l'anatoxine tétanique,False,VAC0345
VAC0002,AGRIPPAL,"Vaccin contre la grippe saisonnière inactivé trivalent, cultivé sur oeuf, à antigène de surface",False,VAC0925
VAC0003,AVAXIM 160 U,"Vaccin entier inactivé contre l'hépatite A, dose adulte",False,VAC0910
VAC0004,D.T. POLIO MERIEUX,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine) et poliomyélitique (entier inactivé, trivalent)",False,VAC0088
VAC0005,DUKORAL,"Vaccin cholérique, par voie orale, contenant la sous-unité B de la toxine cholérique recombinante (rTCB) et des bactéries inactivées ayant un rôle adjuvant",False,VAC1213
VAC0006,FLUVIRINE,"Vaccin contre la grippe saisonnière inactivé trivalent, cultivé sur oeuf, à antigène de surface",False,VAC0925
VAC0007,GARDASIL,"Vaccin contre les papillomavirus humains à base de VLP (Virus Like Particles ou pseudo particules virales), quadrivalent (types 6, 11, 16 et 18), recombinant, adsorbé",False,VAC0859
VAC0008,GRIPGUARD,"Vaccin contre la grippe saisonnière inactivé trivalent, cultivé sur oeuf, à antigène de surface, avec adjuvant",False,VAC0925
VAC0009,HBVAXPRO 10 µg,"Vaccin recombinant contre l'hépatite B, dose adulte",False,VAC0914
VAC0010,HBVAXPRO 40 µg,"Vaccin recombinant contre l'hépatite B, dose pour patient dialysé",False,VAC0916
VAC0011,HBVAXPRO 5 µg,"Vaccin recombinant contre l'hépatite B, dose pédiatrique",False,VAC1227
VAC0012,IMMUGRIP,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0013,IMOVAX POLIO,"Vaccin poliomyélitique (entier inactivé, trivalent)",False,VAC0270
VAC0014,INFANRIX HEXA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard, 3 composants), anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique), poliomyélitique (entier inactivé, trivalent) et de l’hépatite B (recombinant), adsorbé",False,VAC1121
VAC0015,INFANRIXQUINTA,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard, 3 composants), anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique) et poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC1115
VAC0016,"INFLUVAC 0,5 mL","Vaccin contre la grippe saisonnière inactivé trivalent, à antigène de surface",False,VAC0925
VAC0017,M-M-RVAXPRO,"Vaccin vivant atténué contre la rougeole, les oreillons et la rubéole",False,VAC0130
VAC0018,MENCEVAX,"Vaccin polyosidique non conjugué contre les méningocoques des sérogroupes A, C, W et Y",False,VAC0152
VAC0019,MENINGITEC,Vaccin méningococcique polyosidique conjugué contre le sérogroupe C,False,VAC1211
VAC0020,MENJUGATEKIT 10 µg,Vaccin méningococcique polyosidique conjugué contre le sérogroupe C,False,VAC1211
VAC0021,MUTAGRIP,"Vaccin contre la grippe saisonnière inactivé trivalent, à virion fragmenté",False,VAC0925
VAC0022,NEISVAC,Vaccin méningococcique polyosidique conjugué à l'anatoxine tétanique contre le sérogroupe C,False,VAC1184
VAC0023,PENTAVAC,"Vaccin pédiatrique diphtérique (anatoxine, dose standard), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, dose standard, 5 composants), anti-Haemophilus influenzae type b (conjugué à l'anatoxine tétanique) et poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC1115
VAC0024,PNEUMO 23,"Vaccin pneumococcique polyosidique non conjugué, 23-valent, sérotypes 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F et 33F",False,VAC0339
VAC0025,PREVENAR,"Vaccin pneumococcique polyosidique conjugué, 7-valent, adsorbé, sérotypes 4, 6B, 9V, 14, 18C, 19F et 23F",False,VAC0324
VAC0026,PREVIGRIP,"Vaccin contre la grippe saisonnière inactivé trivalent, à antigène de surface",False,VAC0925
VAC0027,R.O.R. VAX,"Vaccin vivant atténué contre la rougeole, les oreillons et la rubéole",False,VAC0130
VAC0028,RABIPUR,"Vaccin rabique entier inactivé, cultivé sur cellules d’embryon de poulet (PCEC), inactivation par la ß-propiolactone",False,VAC0942
VAC0029,REPEVAX,"Vaccin diphtérique (anatoxine, dose réduite), tétanique (anatoxine), coquelucheux (acellulaire multicomposé, 5 composants, dose réduite) et poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC0585
VAC0030,REVAXIS,"Vaccin diphtérique (anatoxine, dose réduite), tétanique (anatoxine) et  poliomyélitique (entier inactivé, trivalent), adsorbé",False,VAC0549
