NUVA,label,comment,abstract,instanceOf
VAC0000,#Orphans,Abstract for orphan vaccines,True,
VAC0001,ACT-HIB,Haemophilus influenzae type b conjugate vaccine (tetanus protein conjugate),False,VAC0345
VAC0002,AGRIPPAL,"Trivalent inactivated seasonal influenza vaccine, egg-based, surface antigen",False,VAC0925
VAC0003,AVAXIM 160 U,"Inactivated hepatitis A vaccine, adult dose",False,VAC0910
VAC0004,D.T. POLIO MERIEUX,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False,VAC0088
VAC0005,DUKORAL,Oral cholera vaccine containing recombinant cholera toxin subunit B (rTCB) and inactivated bacteria with an adjuvant role,False,VAC1213
VAC0006,FLUVIRINE,"Trivalent inactivated seasonal influenza vaccine, egg-based, surface antigen",False,VAC0925
VAC0007,GARDASIL,"Human papillomavirus vaccine based on VLP (Virus Like Particles), quadrivalent (types 6, 11, 16 and 18), recombinant, adsorbed",False,VAC0859
VAC0008,GRIPGUARD,"Trivalent inactivated seasonal influenza vaccine, egg-based, surface antigen, adjuvanted",False,VAC0925
VAC0009,HBVAXPRO 10 µg,"Recombinant hepatitis B vaccine, adult dose",False,VAC0914
VAC0010,HBVAXPRO 40 µg,"Recombinant hepatitis B vaccine, dialysis patient dosage",False,VAC0916
VAC0011,HBVAXPRO 5 µg,"Recombinant hepatitis B vaccine, pediatric dose",False,VAC1227
VAC0012,IMMUGRIP,"Trivalent inactivated seasonal influenza vaccine, split virion",False,VAC0925
VAC0013,IMOVAX POLIO,Inactivated polio (trivalent) vaccine,False,VAC0270
VAC0014,INFANRIX HEXA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 3 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False,VAC1121
VAC0015,INFANRIXQUINTA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 3 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1115
VAC0016,"INFLUVAC 0,5 mL","Trivalent inactivated seasonal influenza vaccine, surface antigen, adult dose",False,VAC0925
VAC0017,M-M-RVAXPRO,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0018,MENCEVAX,"Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",False,VAC0152
VAC0019,MENINGITEC,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False,VAC1211
VAC0020,MENJUGATEKIT 10 µg,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False,VAC1211
VAC0021,MUTAGRIP,"Trivalent inactivated seasonal influenza vaccine, split virion",False,VAC0925
VAC0022,NEISVAC,"Meningococcal conjugate vaccine, serogroup C (conjugated to tetanus toxoid)",False,VAC1184
VAC0023,PENTAVAC,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1115
VAC0024,PNEUMO 23,"Unconjgated pneumococcal polysaccharide vaccine, 23-valent, serotypes 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F and 33F",False,VAC0339
VAC0025,PREVENAR,"Pneumococcal conjugate vaccine, 7-valent, adsorbed, serotypes 4, 6B, 9V, 14, 18C, 19F and 23F",False,VAC0324
VAC0026,PREVIGRIP,"Trivalent inactivated seasonal influenza vaccine, surface antigen",False,VAC0925
VAC0027,R.O.R. VAX,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0028,RABIPUR,"Whole virion inactivated rabies vaccine, Flury LEP strain, purified chick embryo cell vaccine (PCECV), inactivated with ß-propiolactone",False,VAC0942
VAC0029,REPEVAX,"Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",False,VAC0585
VAC0030,REVAXIS,"Diphtheria toxoid (low dose), tetanus toxoid and inactivated polio (trivalent) vaccine, adsorbed",False,VAC0549
VAC0031,ROTATEQ,"Live attenuated pentavalent rotavirus vaccine, oral",False,VAC0828
VAC0032,ROUVAX,Live attenuated measles vaccine,False,VAC0114
VAC0033,RUDIVAX,Live attenuated rubella vaccine,False,VAC0113
VAC0034,SPIROLEPT,Inactivated whole-cell leptospirosis vaccine,False,VAC0148
VAC0035,STAMARIL,Live attenuated yellow fever vaccine,False,VAC0111
VAC0036,TETAGRIP,"Trivalent inactivated seasonal influenza, split virion and tetanus toxoid vaccine",False,VAC1130
VAC0037,TETRAVAC-ACELLULAIRE,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False,VAC0551
VAC0038,"TICOVAC 0,5 mL","Tick-borne encephalitis vaccine, whole-virus inactivated, Neudörfl strain, adult dose",False,VAC1038
VAC0039,"TICOVAC 0,25 mL","Tick-borne encephalitis vaccine, whole-virus inactivated, pediatric dose",False,VAC1037
VAC0040,TYAVAX,"Hepatitis A (inactivated, adsorbed) and typhoid vaccine (polysaccharide)",False,VAC1114
VAC0041,TYPHIM VI,Polysaccharide typhoid vaccine (Vi capsular antigen),False,VAC0713
VAC0042,VACCIN BCG SSI,Tuberculosis vaccine,False,VAC0134
VAC0043,BOOSTRIXTETRA,"Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",False,VAC0585
VAC0044,CERVARIX,"Human Papillomavirus vaccine, based on VLP (Virus Like Particles), bivalent (types 16 and 18), recombinant, adsorbed",False,VAC0858
VAC0045,ENGERIX B 10 µg,"Hepatitis B recombinant vaccine, pediatric dose",False,VAC0914
VAC0046,ENGERIX B 20 µg,"Recombinant hepatitis B vaccine, adult dose",False,VAC0915
VAC0047,FLUARIX,"Trivalent inactivated seasonal influenza vaccine, split virion",False,VAC0925
VAC0048,GENHEVAC B PASTEUR,"Recombinant hepatitis B vaccine, HBsAg 20 µg, children and adult dose",False,VAC0915
VAC0049,HAVRIX 1440 U/1mL,"Inactivated hepatitis A vaccine, adult dose",False,VAC0910
VAC0050,"HAVRIX 720 U/0,5 mL","Inactivated hepatitis A vaccine, pediatric dose",False,VAC0911
VAC0051,INFANRIXTETRA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False,VAC0551
VAC0052,VACCIN MENINGOCOCCIQUE A+C,"Unconjugated meningococcal polysaccharide vaccine, serogroups A and C",False,VAC0151
VAC0053,PRIORIX,"Live attenuated measles, mumps and rubella vaccine",False,VAC0130
VAC0054,VACCIN RABIQUE PASTEUR,"Whole virion inactivated rabies vaccine, Wistar virus strain PM1503-3M, cultured on Vero cells",False,VAC1116
VAC0056,VACCIN TETANIQUE PASTEUR,Tetanus toxoid vaccine,False,VAC0132
VAC0057,TWINRIX 20 µg,"Combined hepatitis A and B vaccine, adult dose",False,VAC0654
VAC0058,TWINRIX 10 µg,"Combined hepatitis A and B vaccine, pediatric dose",False,VAC0653
VAC0059,TYPHERIX,Polysaccharide typhoid vaccine (Vi capsular antigen),False,VAC0713
VAC0060,VARILRIX,Live attenuated chickenpox vaccine,False,VAC0159
VAC0061,VARIVAX,Live attenuated chickenpox vaccine,False,VAC0159
VAC0062,VAXIGRIP,"Trivalent inactivated seasonal influenza vaccine, split virion",False,VAC0925
VAC0063,TETRACOQ,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated) and inactivated polio (trivalent) pediatric vaccine",False,VAC1151
VAC0064,PENTACOQ,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (whole-cell inactivated), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False,VAC1126
VAC0066,DTCP PASTEUR,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, standard dose) and inactivated polio (trivalent) pediatric vaccine",False,VAC0551
VAC0067,HAVRIX 360 U,"Inactivated hepatitis A vaccine, pediatric dose",False,VAC0911
VAC0068,MONOVAX,Tuberculosis vaccine,False,VAC0134
VAC0069,MENOMUNE,"Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",False,VAC0152
VAC0070,DT BIS,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0071,D.T. BIS - RUDIVAX,"Diphtheria toxoid (standard dose), tetanus toxoid and Rubella (live attenuated) pediatric vaccine",False,VAC1221
VAC0072,JE-VAX,"Whole virion inactivated Japanese encephalitis vaccine, mouse brain-derived, Nakayama strain - Other names: JEVAX, BIKEN",False,VAC1196
VAC0073,IXIARO,"Whole virion inactivated Japanese encephalitis vaccine, Vero cell-derived, adsorbed",False,VAC1111
VAC0074,D.T. COQ MERIEUX,"Diphtheria toxoid (standard dose), tetanus toxoid and pertussis (whole-cell inactivated) pediatric vaccine",False,VAC0136
VAC0076,DTVax,Diphtheria toxoid (standard dose) and tetanus toxoid pediatric vaccine,False,VAC0137
VAC0077,IMOVAX Mumps,Live attenuated mumps vaccine,False,VAC0153
VAC0078,RUDI-ROUVAX,Live attenuated measles and rubella vaccine,False,VAC0550
VAC0079,ENCEPUR,"Tick-borne encephalitis vaccine, whole-virus inactivated, K23 strain",False,VAC1533
VAC0080,BCG PASTEUR,Tuberculosis vaccine,False,VAC0134
VAC0082,MenBvac,"Meningococcal vaccine, serogroup B (outer membrane vesicle protein B:14:P1.7,16)",False,VAC0149
VAC0083,SYNFLORIX,"Pneumococcal polysaccharide conjugate vaccine, 10-valent, seroptypes 1, 4, 5, 6B, 7F, 9V, 14, 18C, 19F and 23F",False,VAC1233
VAC0084,"H5N1 pre-pandemic influenza vaccine, unspecified",Szczepionka przeciwko grypie A(H5N1),True,
VAC0085,T POLIO MERIEUX,Tetanus toxoid and inactivated polio (trivalent) vaccine,False,VAC0380
VAC0086,TETAVAX,Tetanus toxoid vaccine,False,VAC0132
VAC0087,VAXICOQ,Pertussis (whole-cell inactivated) vaccine,False,VAC0163
