NUVA,label,comment,shorthand,parent
VAL000,Parent for deprecated valences,,ZZZ,Valence
VAL001,"Trivalente lebend-attenuierte Influenza-Valenz, normale Dosis",,Inf-L3,VAL140
VAL002,"Konjugierter Typhus-Impfstoff, Vi-Polysaccharid-Antigen, gebunden an ein Trägerprotein",,Ty-ViC,VAL014
VAL003,"Pertussis-Valenz, ohne Spezifikation",,Per,Valence
VAL004,"Ganze inaktivierte Cholera-Valenz, injizierbar",,I-Chol-I,VAL359
VAL005,"Measles valence, live attenuated",,Meas-LAV,VAL182
VAL006,"Anti-Brucella-Valenz, ohne Spezifikation",,Bruc,Valence
VAL007,Replikativer Vektor-Ebola-Impfstoff rekombinantes vesikuläres Stomatitisvirus (rVSV) - Glykoprotein GP von EBOV,,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Azelluläre Pertussis-Valenz, Standarddosis",,aP,VAL117
VAL009,Impfstoffe mit Sporozoiten-Oberflächenprotein,,Mala-SPO,VAL025
VAL010,Valenz gegen ganze inaktivierte Pertussis,,wP,VAL003
VAL011,"COVID-19-Impfstoff, Proteinuntereinheit, rekombinantes Spike-Protein (RBD)",,COVID-PS-rRBD,VAL104
VAL012,"Hepatitis-B-Impfstoff, rekombinantes Hepatitis-B-Virus-Oberflächenantigen (HBsAg), 40 Mikrogramm (Dosierung für Dialysepatienten)",,rHBsAg-40,VAL090
VAL013,Glykoprotein E (gE) auf der Oberfläche des Varizella-Zoster-Virus (VZV),,Shingles-gE,VAL159
VAL014,"Typhusimpfstoff, nicht spezifiziert",,Ty,Valence
VAL015,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd3,VAL122
VAL016,"Tollwut-Immunglobulin, nicht spezifiziert",,RIG,Valence
VAL017,"Azelluläre Pertussis-Valenz, reduzierte Dosis",,ap,VAL117
VAL018,"Pockenimpfstoff der dritten Generation, minimal replizierendes Lebendvacciniavirus",,Pox-3G-LC16,VAL028
VAL019,Diphtherie-Antitoxin,,DATx,VAL414
VAL020,"Herpes zoster valence, live attenuated",,Shingles-L,VAL160
VAL021,Inaktivierter ganzer oraler Cholera-Impfstoff,,O-Chol-I,VAL359
VAL022,"Smallpox valence, live attenuated, unspecified",,Smallpox-L,VAL418
VAL023,"Influenza valence, trivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid3,VAL024
VAL024,"Trivalente inaktivierte Influenza-Valenz, Spalt- oder Untereinheit, ohne Spezifikation",,INF-SU3,VAL058
VAL025,"Malaria-Impfstoff, nicht spezifiziert",,Mala,Valence
VAL026,"Meningokokken-Impfstoff B:14:P1.7,16 mit Vesikelproteinen der äußeren Membran",,MenB-OMP,VAL118
VAL027,"COVID-19-Impfstoff, nicht-replizierender Adenovirus-26-Vektor, der für das SARS-CoV-2-Spike-Protein kodiert",,COVID-VVnr-S-Ad26,VAL070
VAL028,"Smallpox valence, third-generation, live attenuated",,POX-3G,VAL022
VAL029,"VLP-Impfstoff gegen saisonale Grippe, nicht spezifiziert",,Inf-VLP,VAL364
VAL030,Rekombinanter Impfstoff gegen Borrelia burgdorferi - Protein der äußeren Oberfläche A (OspA),,Lyme-OspA,VAL339
VAL031,Zeckenenzephalitis,,TBE,Valence
VAL032,"Typhus-Polysaccharid-Impfstoff, nicht konjugiertes Vi-Polysaccharid-Antigen",,Ty-ViPS,VAL014
VAL033,Monovalenter oraler attenuierter Lebendimpfstoff gegen Poliomyelitis Typ 2,,mOPV2,VAL133
VAL034,"Diphtherie-Toxoid, niedrige Dosis",,d,VAL083
VAL035,"COVID-19-Impfstoff, Plasmid-DNA, die für das SARS-CoV-2-Spike-Protein kodiert",,COVID-DNA-S,VAL164
VAL036,"Humaner Papillomavirus-VLP-Impfstoff, nicht-avalent, Typen 6, 11, 16, 18, 31, 33, 45, 52, 58",,HPV-09-valent,VAL237
VAL037,"Meningokokken-Impfstoff A, nicht konjugiertes Polyosid",,MPV-A,VAL297
VAL038,"COVID-19-Impfstoff, replizierender Masernvirus-Vektor, der für das SARS-CoV-2-Spike-Protein kodiert",,COVID-VVr-S-Meas,VAL398
VAL039,"COVID-19-Impfstoff, VLP, rekombinantes Spike-Protein",,COVID-VLP-rS,VAL164
VAL040,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd4,VAL064
VAL041,"Meningokokken-Impfstoff A, Polyosid-Konjugat",,MCV-A,VAL297
