NUVA,label,comment,shorthand,parent
VAL000,Parent for deprecated valences,,ZZZ,Valence
VAL001,"Τρισθενής ζωντανή εξασθενημένη βαλεντία της γρίπης, κανονική δόση",,Inf-L3,VAL140
VAL002,"Συζευγμένο εμβόλιο τυφοειδούς, πολυσακχαριδικό αντιγόνο Vi συνδεδεμένο με πρωτεΐνη φορέα",,Ty-ViC,VAL014
VAL003,"Βαλεντία κοκκύτη, χωρίς διευκρίνιση",,Per,Valence
VAL004,"Ολόκληρη αδρανοποιημένη βαλεντία της χολέρας, ενέσιμη",,I-Chol-I,VAL359
VAL005,"Measles valence, live attenuated",,Meas-LAV,VAL182
VAL006,"Αντι-Brucella βαλεντία, χωρίς διευκρίνιση",,Bruc,Valence
VAL007,Ανασυνδυασμένος αναπαραγωγικός φορέας του ιού της φυσαλιδώδους στοματίτιδας (rVSV) Εμβόλιο Έμπολα - γλυκοπρωτεΐνη EBOV GP,,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Ακυτταρική βακτηριακή βαλεντία κοκκύτη, τυπική δόση",,aP,VAL117
VAL009,Εμβόλια πρωτεϊνών επιφανείας σποροζωιδίων,,Mala-SPO,VAL025
VAL010,Βαλεντία κατά του αδρανοποιημένου ολοκυτταρικού κοκκύτη,,wP,VAL003
VAL011,"Εμβόλιο COVID-19, πρωτεϊνική υπομονάδα, ανασυνδυασμένη πρωτεΐνη αιχμής (RBD)",,COVID-PS-rRBD,VAL104
VAL012,"Εμβόλιο ηπατίτιδας Β, ανασυνδυασμένο αντιγόνο επιφανείας του ιού της ηπατίτιδας Β (HBsAg), 40 μικρογραμμάρια (δοσολογία ασθενούς αιμοκάθαρσης)",,rHBsAg-40,VAL090
VAL013,Επιφανειακή γλυκοπρωτεΐνη Ε (gE) του ιού Varicella zoster (VZV),,Shingles-gE,VAL159
VAL014,"Εμβόλιο τυφοειδούς, απροσδιόριστο",,Ty,Valence
VAL015,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd3,VAL122
VAL016,"Λύσσα ανοσοσφαιρίνη, απροσδιόριστη",,RIG,Valence
VAL017,"Ακυτταρική βακτηριακή βαλεντία κοκκύτη, μειωμένη δόση",,ap,VAL117
VAL018,"Εμβόλιο ευλογιάς τρίτης γενιάς, ελάχιστα αναπαραγόμενος ζωντανός ιός εμβολιασμού",,Pox-3G-LC16,VAL028
VAL019,Αντιτοξίνη διφθερίτιδας,,DATx,VAL414
VAL020,"Herpes zoster valence, live attenuated",,Shingles-L,VAL160
VAL021,Από του στόματος αδρανοποιημένο εμβόλιο χολέρας,,O-Chol-I,VAL359
VAL022,"Smallpox valence, live attenuated, unspecified",,Smallpox-L,VAL418
VAL023,"Influenza valence, trivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid3,VAL024
VAL024,"Τρισθενής αδρανοποιημένη βαλεντία της γρίπης, κλασματοποιημένη ή υπομονάδα, χωρίς διευκρίνιση",,INF-SU3,VAL058
VAL025,"Εμβόλιο κατά της ελονοσίας, απροσδιόριστο",,Mala,Valence
VAL026,"Μηνιγγιτιδοκοκκικό εμβόλιο B:14:P1.7,16 με πρωτεΐνες κυστιδίων εξωτερικής μεμβράνης",,MenB-OMP,VAL118
VAL027,"Εμβόλιο COVID-19, μη αναπαραγόμενος φορέας αδενοϊού 26 που κωδικοποιεί την πρωτεΐνη αιχμής SARS-CoV-2",,COVID-VVnr-S-Ad26,VAL070
VAL028,"Smallpox valence, third-generation, live attenuated",,POX-3G,VAL022
VAL029,"Εμβόλιο εποχικής γρίπης VLP, απροσδιόριστο",,Inf-VLP,VAL364
VAL030,Ανασυνδυασμένο εμβόλιο κατά της Borrelia burgdorferi - πρωτεΐνη εξωτερικής επιφάνειας Α (OspA),,Lyme-OspA,VAL339
VAL031,Εγκεφαλίτιδα που προκαλείται από τσιμπούρια,,TBE,Valence
VAL032,"Εμβόλιο πολυσακχαρίτη τυφοειδούς, μη συζευγμένο αντιγόνο πολυσακχαρίτη Vi",,Ty-ViPS,VAL014
VAL033,Μονοδύναμο ζωντανό εξασθενημένο από του στόματος εμβόλιο πολιομυελίτιδας τύπου 2,,mOPV2,VAL133
