NUVA,label,comment,shorthand,parent
VAL000,Parent for deprecated valences,,ZZZ,Valence
VAL001,"Influenza valence, trivalent, live attenuated, standard dose",,INF-L3,VAL140
VAL002,"Typhoid valence, conjugated, Vi polysaccharide antigen linked to a carrier protein",,Ty-ViC,VAL014
VAL003,"Pertussis valence, unspecified",,Per,Valence
VAL004,"Cholera valence, inactivated, whole-cell, injectable",,CHOL-I-I,VAL359
VAL005,"Measles valence, live attenuated",,MEAS-LA,VAL182
VAL006,"Brucella valence, unspecified",,Bruc,Valence
VAL007,"Ebola valence, replicating vector, recombinant vesicular stomatitis virus (rVSV) - EBOV GP glycoprotein",,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Pertussis  valence, acellular, standard dose",,aP,VAL117
VAL009,"Malaria valence, sporozoite surface protein",,Mala-SPO,VAL025
VAL010,"Pertussis valence, inactivated, whole-cell",,wP,VAL003
VAL011,"COVID-19 valence, protein subunit, recombinant spike protein (RBD)",,COVID-PS-rRBD,VAL104
VAL012,"Hepatitis B valence, recombinant Hepatitis B virus surface antigen (HBsAg), 40 micrograms (dialysis patient dosage)",,rHBsAg-40,VAL090
VAL013,"Shingles valence, varicella zoster virus (VZV) surface glycoprotein E (gE)",,Shingles-gE,VAL159
VAL014,"Typhoid valence, unspecified",,Ty,Valence
VAL015,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd3,VAL122
VAL016,"Rabies valence, immunoglobulin, unspecified",,RIG,Valence
VAL017,"Pertussis valence, acellular, reduced dose",,ap,VAL117
VAL018,"Smallpox valence, third generation, minimally replicating live vaccinia virus",,POX-3G-LC16,VAL028
VAL019,"Diphtheria valence, antitoxin",,DATx,VAL414
VAL020,"Herpes zoster valence, live attenuated",,Shingles-LA,VAL160
VAL021,"Cholera valence, inactivated, whole-cell, oral",,CHOL-I-O,VAL359
VAL022,"Smallpox valence, live attenuated, unspecified",,POX-LA,VAL418
VAL023,"Influenza valence, trivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid3,VAL024
VAL024,"Influenza valence, trivalent, inactivated, split or subunit, unspecified",,INF-SU3,VAL058
VAL025,"Malaria valence, unspecified",,Mala,Valence
VAL026,"Meningococcal valence B:14:P1.7,16 outer membrane vesicle proteins",,MenB-OMP,VAL118
VAL027,"COVID-19 valence, non-replicating adenovirus 26 vector encoding the SARS-CoV-2 spike protein",,COVID-VVnr-S-Ad26,VAL070
VAL028,"Smallpox valence, third-generation, live attenuated",,POX-3G,VAL022
VAL029,"Influenza valence, VLP, unspecified",,INF-VLP,VAL364
VAL030,"Borrelia burgdorferi valence, recombinant, outer surface protein A (OspA)",,Lyme-OspA,VAL339
VAL031,"Tick-borne encephalitis valence, unspecified",,TBE,Valence
VAL032,"Typhoid valence, unconjugated Vi polysaccharide antigen",,Ty-ViPS,VAL014
VAL033,"Polio type 2 valence, monovalent, live attenuated, oral",,mOPV2,VAL133
VAL034,"Diphtheria valence, toxoid, reduced dose",,d,VAL083
VAL035,"COVID-19 valence, plasmid DNA encoding the SARS-CoV-2 spike protein",,COVID-DNA-S,VAL164
VAL036,"Human Papillomavirus valence, VLP nonavalent, types 6, 11, 16, 18, 31, 33, 45, 52, 58",,HPV-09-valent,VAL237
VAL037,"Meningococcal A valence, unconjugated polysaccharide",,MPV-A,VAL297
VAL038,"COVID-19 valence, replicating measles virus vector encoding the SARS-CoV-2 spike protein",,COVID-VVr-S-Meas,VAL398
VAL039,"COVID-19 valence, VLP, recombinant spike protein",,COVID-VLP-rS,VAL164
VAL040,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd4,VAL064
VAL041,"Meningococcal A valence, polysaccharide conjugate",,MCV-A,VAL297
VAL042,"Polio valence, unspecified",,POLIO,Valence
VAL043,"COVID-19 valence, mRNA encoding the SARS-CoV-2 spike protein, authorized",,COVID-mRNA-S,VAL168
VAL044,"Varicella valence, live attenuated, unspecified",,VZV-LA,Valence
VAL045,"Paratyphoid fever valence, inactivated, whole-cell",,pTy-I,VAL014
VAL046,Typhus valence,,Typhus,Valence
VAL047,"Hepatitis B valence, immunoglobulin",,IgHepB,Valence
VAL048,"Mumps valence, inactivated, whole-virus",,MUMPS-I,VAL183
VAL049,"Haemophilus influenzae type b valence, unconjugated PRP",,Hib-PS,VAL177
VAL050,"COVID-19 valence, non-replicating adenovirus 5 vector encoding the SARS-CoV-2 spike protein, unspecified",,COVID-VVnr-S-Ad5,VAL070
VAL051,Avian influenza A(H5N1) valence,,AH5N1,VAL386
VAL052,"Human Papillomavirus valence, VLP quadrivalent, types 6, 11, 16 and 18",,HPV-04-valent,VAL237
VAL053,"COVID-19 valence, protein subunit, unspecified",,COVID-PS,VAL164
VAL054,"COVID-19 valence, non-replicating modified Ankara vaccine vector encoding the SARS-CoV-2 spike protein",,COVID-VVnr-S-MVA,VAL397
VAL055,"Measles valence, immunoglobulin",,MEAS-Ig,VAL447
VAL056,"Polio valence, trivalent, inactivated, whole-virus, injectable",,IPV,VAL042
VAL057,"Meningococcal C valence, polysaccharide conjugate",,MCV-C,VAL298
VAL058,"Influenza valence, Inactivated, split or subunit, unspecified",,INF-SU,VAL365
VAL059,"Influenza valence, quadrivalent, live attenuated, standard dose",,INF-L4,VAL140
VAL060,"Chikungunya virus valence, live attenuated",,CHIK-LA,VAL390
VAL061,"COVID-19 valence, protein subunit, recombinant spike protein, S-2P and CpG1018",,COVID-PS-CpG1018,VAL104
VAL062,"Cholera valence, protein subunit, recombinant cholera toxin subunit B (rCTB)",,CHOL-SU-rCTB-O,VAL021
VAL063,"Botulism valence, antitoxin",,BAT,VAL420
VAL064,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted",,INF-SUNA4,VAL127
VAL065,"Dengue valence, live attenuated, tetravalent recombinant chimeric ",,RC-TDV,VAL150
VAL066,"COVID-19 valence, replicating influenza virus vector encoding the SARS-CoV-2 spike protein",,COVID-VVr-S-Influ,VAL398
VAL067,"Tetanus valence, toxoid",,T,Valence
VAL068,"Hepatitis B valence, unspecified",,HepB,Valence
VAL069,"COVID-19 valence, non-replicating chimpanzee adenoviral vector ChAdOx1 encoding the SARS-CoV-2 spike protein",,COVID-VVnr-S-ChAdOx1,VAL397
VAL070,"COVID-19 valence, non-replicating adenoviral vector encoding the SARS-CoV-2 spike protein, unspecified",,COVID-VVnr-S-Ad,VAL397
VAL071,"Typhoid valence, inactivated, whole-cell",,Ty-I,VAL014
VAL072,"Meningococcal B valence, containing fHbp of subfamilies A and B",,MenB-fHbpAB,VAL161
VAL073,"COVID-19 valence, replicating viral vector, antigen presenting cells",,COVID-VVr+APC,VAL162
VAL074,"Influenza valence, quadrivalent, inactivated, split or subunit, high-dose",,INF-SUhd4,VAL064
VAL075,"Leptospira icterohaemorrhagiae valence, inactivated, whole-cell",,Lepto-wI,VAL448
VAL076,"COVID-19 valence, inactivated, whole-virion, unspecified",,COVID-IV,VAL164
VAL077,"Mumps valence, live attenuated",,MUMPS-LA,VAL183
VAL078,"Meningococcal Y valence, polysaccharide conjugate",,MCV-Y,VAL299
VAL079,"Rubella valence, live attenuated",,Rub-LA,Valence
VAL080,"Rabies valence, inactivated, whole virion, unspecified",,Rab-I,Valence
VAL081,"Cholera valence, unspecified",,CHOL,Valence
VAL082,"Human Papillomavirus valence, types unspecified",,HPV,Valence
VAL083,"Diphtheria valence, toxoid, dose unspecified",,D-d,VAL414
VAL084,"COVID-19 valence, replicating vesicular stomatitis virus vector encoding the SARS-CoV-2 spike protein",,COVID-VVr-S-VSV,VAL398
VAL085,"Polio type 3 valence, monovalent, live attenuated, oral",,mOPV3,VAL133
VAL086,"COVID-19 valence, live attenuated, unspecified",,COVID-LA,VAL165
VAL087,"Dengue valence, live attenuated, tetravalent chimeric recombinant based on the yellow fever 17D vaccine",,CYD-TDV,VAL150
VAL088,"Varicella valence, immunoglobulin",,VZV-Ig,Valence
VAL089,"Japanese encephalitis valence, inactivated, whole-virus, unspecified",,JE-I,VAL249
VAL090,"Hepatitis B valence, recombinant Hepatitis B virus surface antigen (HBsAg), dose unspecified",,rHBsAg,VAL068
VAL091,"Typhoid valence, live attenuated, strain Ty21a, oral",,Ty-LA-O,VAL014
VAL092,"Yellow fever valence, live attenuated",,YF,Valence
VAL093,"Measles valence, inactivated, whole-virus",,MEAS-I,VAL182
VAL094,"Influenza valence, trivalent, inactivated, fractionated or subunit, intramuscular or subcutaneous, non-adjuvanted, high dose",,INF-SUhd3,VAL122
VAL095,"COVID-19 valence, replicating Newcastle disease virus vector encoding the SARS-CoV-2 spike protein",,COVID-VVr-S-Nv,VAL398
VAL096,BCG valence,,BCG,Valence
VAL097,"Diphtheria valence, toxoid, standard dose",,D,VAL083
VAL098,"Meningococcal B valence, four-component",,4CMenB,VAL161
VAL099,"Influenza valence, inactivated, pandemic influenza H1N1 2009 ",,INF-pdm09,VAL058
VAL100,"Japanese encephalitis valence, live attenuated virus, strain 14-14-2",,JE-LA-14-14-2,VAL248
VAL101,"COVID-19 valence, non-replicating Newcastle disease virus vector encoding the SARS-CoV-2 spike protein",,COVID-VVnr-S-Nv,VAL397
VAL102,"Hepatitis E valence, recombinant peptide",,HepE,Valence
VAL103,"Haemophilus influenzae type b valence, PRP-conjugated, unspecified",,Hib-C,VAL177
VAL104,"COVID-19 valence, protein subunit, recombinant spike protein",,COVID-PS-rS,VAL053
VAL105,"Pneumococcal valence, unspecified",,Pneumo,Valence
VAL106,"Rotavirus valence, live attenuated, unspecified",,ROTA-LA,Valence
VAL107,"COVID-19 valence, protein subunit, recombinant spike protein nanoparticles",,COVID-PS-rSnp,VAL104
VAL108,"Ebola valence, non-replicating viral vector, Ad26.ZEBOV",,ZebovVRnrAd26,VAL126
VAL109,"Ebola valence, non-replicating viral vector, Modified Ankara vaccine ",,Ebola-MVA-BN-Filo,VAL126
VAL110,"Tetanus valence, immunoglobulin",,T-Ig,Valence
VAL111,"Anthrax valence, acellular",,Bant,VAL340
VAL112,"Influenza valence, quadrivalent, inactivated, obtained from cell culture, split or subunit, standard dose",,INF-CC4,VAL360
VAL113,"Human Papillomavirus valence, VLP bivalent, types 16 and 18",,HPV-02-valent,VAL237
VAL114,"Hepatitis B valence, recombinant Hepatitis B virus surface antigen (HBsAg), 10 micrograms",,rHBsAg-10,VAL090
VAL115,"Hepatitis B valence, recombinant Hepatitis B virus surface antigen (HBsAg), 20 micrograms",,rHBsAg-20,VAL090
VAL116,"RSV valence, monoclonal antibody, palivizumab",,RSV-mAb-pal,VAL320
VAL117,"Pertussis valence, acellular, dose unspecified",,Acel,VAL003
VAL118,"Meningococcal B valence, unspecified",,MenB,VAL234
VAL119,"COVID-19 valence, Omicron variant XFG, mRNA encoding the SARS-CoV-2 spike protein, 50 micrograms",,Covid-ARNm-S-OMI-XFG-50,VAL439
VAL120,"Meningococcal valence, polyvalent, unconjugated polysaccharide",,MPV-poly,VAL234
VAL121,"Polio valence, trivalent, inactivated, whole-virus, oral",,IPV-O,VAL042
VAL122,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted",,INF-SUNA3,VAL231
VAL123,"Rotavirus valence, pentavalent, live attenuated virus",,Rota5-L,VAL106
VAL124,"Cholera valence, live attenuated, unspecified",,CHOL-LA,VAL081
VAL125,"Hepatitis A valence, inactivated, whole-virus, unspecified",,HepA-I,VAL288
VAL126,"Ebola valence, unspecified",,Ebola,Valence
VAL127,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route",,INF-SUimsc4,VAL230
VAL128,"Influenza valence, unspecified",,INF,Valence
VAL129,"Herpes simplex valence, unspecified",,HSV,Valence
VAL130,"Hepatitis A valence, virosome",,HepA-VLP,VAL125
VAL131,"Plague valence, inactivated, whole-cell",,Yp-I,VAL422
VAL132,"Polio type 1 valence, monovalent, live attenuated, oral",,mOPV1,VAL133
VAL133,"Polio valence, monovalent, live attenuated, oral, unspecified",,mOPV,VAL042
VAL134,"Influenza valence, quadrivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid4,VAL230
VAL135,"COVID-19 valence, mRNA encoding the SARS-CoV-2 spike protein, in clinical trials ",,COVID-mRNA-S-CT,VAL303
VAL136,"Meningococcal W valence, polysaccharide conjugate",,MCV-W,VAL300
VAL137,"Meningococcal C valence, unconjugated",,MPV-C,VAL298
VAL138,"Meningococcal W valence, unconjugated",,MPV-W,VAL300
VAL139,"Meningococcal Y valence, unconjugated polysaccharide",,MPV-Y,VAL299
VAL140,"Influenza valence, live attenuated, unspecified",,INF-L,VAL128
VAL141,"Rotavirus valence, live attenuated, RIX4414 monovalent",,ROTA-LA-mv-RIX4414,VAL106
VAL142,"Hepatitis A valence, monovalent, inactivated, whole-virus, paediatric dose",,HepA-mv-PED,VAL283
VAL143,"Hepatitis A valence, bivalent (hepatitis A and B), inactivated, whole-virus, paediatric dose",,HepA-bv-PED,VAL283
VAL144,"Hepatitis A valence, monovalent, inactivated, whole-virus, adult dose",,HepA-mv-ADU,VAL284
VAL145,"Hepatitis A valence, bivalent (hepatitis A and B), inactivated, whole-virus, adult dose",,HepA-bv-ADU,VAL284
VAL146,"Brucella valence, inactivated, whole-cell",,Bruc-I,VAL006
VAL147,"Brucella valence, protein subunit, antigen P.I. (phenol-insoluble)",,Bruc-IP,VAL006
VAL148,"RSV valence, immunoglobulin",,RSV-IG,VAL338
VAL149,"COVID-19 valence, Omicron variant, mRNA encoding the SARS-CoV-2 spike protein",,COVID-mRNA-S-OMI,VAL043
VAL150,"Dengue valence, unspecified",,Den,Valence
VAL151,"Tularemia valence, unspecified",,Tular,Valence
VAL152,"Influenza valence, inactivated, whole-virus, unspecified",,INF-I,VAL365
VAL153,"Haemophilus influenzae type b valence, PRP conjugated to diphtheria toxoid",,PRP-D,VAL103
VAL154,"Haemophilus influenzae type b valence, PRP conjugated to mutant diphtheria toxin CRM197",,HbOC,VAL103
VAL155,"Haemophilus influenzae type b valence, PRP conjugated to outer membrane protein of Neisseria meningitidis serogroup B",,PRP-OMP,VAL103
VAL156,"Haemophilus influenzae type b valence, PRP conjugated to tetanus toxoid",,PRP-T,VAL103
VAL157,"COVID-19 valence, unspecified",,COVID,Valence
VAL158,"Hepatitis B valence, plasma derived",,pHBsAg,VAL068
VAL159,"Shingles valence, subunit",,Shingles-SU,VAL160
VAL160,"Shingles valence, unspecified",,Shingles,Valence
VAL161,"Meningococcus B valence, multicomponent, unspecified",,MenB-mc,VAL118
VAL162,"COVID-19 valence, replicating virus vector, unspecified",,COVID-VVr,VAL165
VAL163,"COVID-19 valence, non-replicating viral vector, unspecified",,COVID-VVnr,VAL165
VAL164,"COVID-19 valence, non live, unspecified",,COVID-non-live,VAL157
VAL165,"COVID-19 valence, live, unspecified",,COVID-live,VAL157
VAL166,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, pediatric dose",,INF-SUped3,VAL122
VAL167,"COVID-19 valence, non-replicating viral vector, antigen presenting cells",,COVID-VVnr+APC,VAL163
VAL168,"COVID-19 valence, mRNA, unspecified",,COVID-mRNA,VAL164
VAL169,"COVID-19 valence, self-amplifying mRNA (SAM)",,COVID-mRNA-SAM,VAL303
VAL170,"Hepatitis B valence, recombinant Hepatitis B virus surface antigen (HBsAg), 5 micrograms",,rHepB-05,VAL090
