NUVA,label,comment,shorthand,parent
VAL000,Parent pour les valences dépréciées,,ZZZ,Valence
VAL001,"Valence grippe, trivalente, vivante atténuée, dose normale",,Inf-L3,VAL140
VAL002,"Valence typhoïde, conjuguée, antigène capsulaire polyosidique Vi lié à une protéine porteuse",,Ty-ViC,VAL014
VAL003,"Valence coqueluche, sans précision",,Coq,Valence
VAL004,"Valence choléra, inactivée, entière, injectable",,I-Chol-I,VAL359
VAL005,"Valence rougeole, vivante atténuée",,Roug-VVA,VAL182
VAL006,"Valence brucellose, sans précision",,Bruc,Valence
VAL007,"Valence Ebola, vecteur réplicatif virus de la stomatite vésiculaire recombinant (rVSV) - glycoprotéine GP d'EBOV",,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Valence coqueluche, acellulaire, dose standard",,Ca,VAL117
VAL009,"Valence paludisme, protéine de surface du sporozoïte",,Palu-SPO,VAL025
VAL010,"Valence coqueluche, inactivée, entière",,Ce,VAL003
VAL011,"Valence covid 19, sous-unité protéique, protéine de pointe recombinante (domaine RBD)",,Covid-SP-rRBD,VAL104
VAL012,"Valence hépatite B, antigène de surface recombinant du virus de l'hépatite B (Ag HBs), 40 microgrammes (dose pour patient dialysé)",,rAgHBs-40,VAL090
VAL013,"Valence zona, glycoprotéine E (gE) de surface du virus varicelle-zona (VZV)",,Zona-gE,VAL159
VAL014,"Valence typhoïde, sans précision",,Ty,Valence
VAL015,"Valence grippe, trivalente, inactivée, fractionnée ou sous-unité, voie intramusculaire ou sous-cutanée, sans adjuvant, dose normale",,Inf-SUnd3,VAL122
VAL016,"Valence rage, immunoglobuline, sans précision",,RIG,Valence
VAL017,"Valence coqueluche, acellulaire, dose réduite",,ca,VAL117
VAL018,"Valence variole, troisième génération, virus de la vaccine à réplication minimale",,POX-3G-LC16,VAL028
VAL019,"Valence diphtérique, antitoxine",,DATx,VAL414
VAL020,"Valence zona, vivant atténué",,Zona-V,VAL160
VAL021,"Valence choléra, inactivée, entière, orale",,O-Chol-I,VAL359
VAL022,"Valence variole, vivant atténué, sans précision",,POX-V,VAL418
VAL023,"Valence grippe, trivalente, inactivée, fractionnée ou sous-unité, voie intradermique, sans précision",,Inf-SUid3,VAL024
VAL024,"Valence grippe, trivalente, inactivée, fractionnée ou sous-unité, sans précision",,Inf-SU3,VAL058
VAL025,"Valence paludisme, sans précision",,Palu,Valence
VAL026,"Valence méningocoque B, protéines de vésicules de membrane externe",,MenB-OMP,VAL118
VAL027,"Valence covid 19, vecteur viral non réplicatif, adénovirus 26 codant la protéine de pointe du SARS-CoV-2",,Covid-VVnr-S-Ad26,VAL070
VAL028,"Valence variole, troisième génération, vivant atténué",,POX-3G,VAL022
VAL029,"Valence grippe, VLP, sans précision",,Inf-VLP,VAL364
VAL030,"Valence Borrelia burgdorferi, recombinante, protéine de surface externe A (OspA)",,Lyme-OspA,VAL339
VAL031,"Valence encéphalite à tiques, sans précision",,TBE,Valence
VAL032,"Valence typhoïde, non conjuguée, antigène capsulaire polyosidique Vi",,Ty-ViPS,VAL014
VAL033,"Valence poliomyélite, vivante atténuée, orale, monovalente type 2",,mVPO2,VAL133
VAL034,"Valence diphtérique, anatoxine, dose réduite",,d,VAL083
VAL035,"Valence covid 19, ADN plasmidique codant la protéine de pointe du SARS-CoV-2",,Covid-ADN-S,VAL164
VAL036,"Valence papillomavirus, VLP, nonavalent, types 6, 11, 16, 18, 31, 33, 45, 52 et 58",,VPH-09-valent,VAL237
VAL037,"Valence méningocoque A, polyoside non conjugué",,MPV-A,VAL297
VAL038,"Valence covid 19, vecteur viral réplicatif, virus de la rougeole codant la protéine de pointe du SARS-CoV-2",,Covid-VVr-S-Roug,VAL398
