NUVA,label,comment,shorthand,parent
VAL000,Parent for deprecated valences,,ZZZ,Valence
VAL001,"Trivalenta dzīva novājināta gripas valence, normāla deva",,Inf-L3,VAL140
VAL002,"Konjugētā vakcīna pret vēdertīfu, Vi polisaharīda antigēns, kas saistīts ar nesējbaltumu",,Ty-ViC,VAL014
VAL003,"Garā klepus valence, bez precizējuma",,Per,Valence
VAL004,"Visa inaktivēta holēras valence, injicējama",,I-Chol-I,VAL359
VAL005,"Measles valence, live attenuated",,Meas-LAV,VAL182
VAL006,"Anti-Brucella valence, bez precizējuma",,Bruc,Valence
VAL007,Rekombinants vezikulārā stomatīta vīrusa (rVSV) replikatīvais vektors Ebolas vakcīna - EBOV GP glikoproteīns,,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Bezšūnu garā klepus valence, standarta deva",,aP,VAL117
VAL009,Vakcīnas pret sporozoītu virsmas olbaltumvielām,,Mala-SPO,VAL025
VAL010,Inaktivētas visas garā klepus baktērijas valence,,wP,VAL003
VAL011,"COVID-19 vakcīna, proteīna apakšvienība, rekombinantais smailes proteīns (RBD)",,COVID-PS-rRBD,VAL104
VAL012,"Hepatīta B vakcīna, rekombinantā Hepatīta B vīrusa virsmas antigēns (HBsAg), 40 mikrogrami (dializējamo pacientu devas)",,rHBsAg-40,VAL090
VAL013,Varicella zoster vīrusa (VZV) virsmas glikoproteīns E (gE),,Shingles-gE,VAL159
VAL014,"Vakcīna pret vēdertīfu, neprecizēta",,Ty,Valence
VAL015,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd3,VAL122
VAL016,"Trakumsērgas imūnglobulīns, neprecizēts",,RIG,Valence
VAL017,"Bezšūnu garā klepus valence, samazināta deva",,ap,VAL117
VAL018,"Trešās paaudzes vakcīna pret bakām, minimāli replicējošs dzīvs vakcinācijas vīruss",,Pox-3G-LC16,VAL028
VAL019,Difterijas antitoksīns,,DATx,VAL414
VAL020,"Herpes zoster valence, live attenuated",,Shingles-L,VAL160
VAL021,Perorāla inaktivēta vesela holēras vakcīna,,O-Chol-I,VAL359
VAL022,"Smallpox valence, live attenuated, unspecified",,Smallpox-L,VAL418
VAL023,"Influenza valence, trivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid3,VAL024
VAL024,"Trivalenta inaktivēta gripas valence, frakcionēta vai apakšvienība, bez precizējuma",,INF-SU3,VAL058
