NUVA,label,comment,shorthand,parent
VAL000,Parent for deprecated valences,,ZZZ,Valence
VAL001,"Trójwalentna żywa atenuowana wartość przeciwko grypie, normalna dawka",,Inf-L3,VAL140
VAL002,"Skoniugowana szczepionka przeciwko durowi brzusznemu, antygen polisacharydowy Vi połączony z białkiem nośnikowym",,Ty-ViC,VAL014
VAL003,"Wartość przeciwko krztuścowi, bez określenia",,Per,Valence
VAL004,"Całkowicie inaktywowana wartość przeciwko cholerze, do wstrzykiwania",,I-Chol-I,VAL359
VAL005,"Measles valence, live attenuated",,Meas-LAV,VAL182
VAL006,"Wartość przeciwko Brucella, bez określenia",,Bruc,Valence
VAL007,Rekombinowany wirus pęcherzykowego zapalenia jamy ustnej (rVSV) wektor replikacyjny Szczepionka przeciwko Ebola - glikoproteina GP EBOV,,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Wartość bezkomórkowej krztuścowej, standardowa dawka",,aP,VAL117
VAL009,Szczepionki przeciwko białkom powierzchniowym sporozoitów,,Mala-SPO,VAL025
VAL010,Wartość przeciwko całej inaktywowanej krztuścowej bakterii,,wP,VAL003
VAL011,"Szczepionka COVID-19, podjednostka białkowa, rekombinowane białko szpiku (RBD)",,COVID-PS-rRBD,VAL104
VAL012,"Szczepionka przeciwko zapaleniu wątroby typu B, rekombinowany antygen powierzchniowy wirusa zapalenia wątroby typu B (HBsAg), 40 mikrogramów (dawka dla pacjentów dializowanych)",,rHBsAg-40,VAL090
VAL013,Glikoproteina powierzchniowa E (gE) wirusa Varicella zoster (VZV),,Shingles-gE,VAL159
VAL014,"Szczepionka przeciw tyfusowi plamistemu, nieokreślona",,Ty,Valence
VAL015,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd3,VAL122
VAL016,"Immunoglobulina przeciwko wściekliźnie, nieokreślona",,RIG,Valence
VAL017,"Wartość bezkomórkowej krztuścowej, zmniejszona dawka",,ap,VAL117
VAL018,"Szczepionka przeciwko ospie wietrznej trzeciej generacji, minimalnie replikująca żywy wirus vaccinia",,Pox-3G-LC16,VAL028
VAL019,Antytoksyna błonicza,,DATx,VAL414
VAL020,"Herpes zoster valence, live attenuated",,Shingles-L,VAL160
VAL021,Doustna inaktywowana szczepionka przeciwko całej cholerze,,O-Chol-I,VAL359
VAL022,"Smallpox valence, live attenuated, unspecified",,Smallpox-L,VAL418
VAL023,"Influenza valence, trivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid3,VAL024
VAL024,"Trójwalentna inaktywowana wartość przeciwko grypie, dzielona lub podjednostkowa, bez określenia",,INF-SU3,VAL058
VAL025,"Szczepionka przeciwko malarii, niespecyfikowana",,Mala,Valence
VAL026,"Szczepionka meningokokowa B:14:P1.7,16 z białkami pęcherzyków błony zewnętrznej",,MenB-OMP,VAL118
VAL027,"Szczepionka COVID-19, niereplikujący się wektor adenowirusa 26 kodujący białko szczytowe SARS-CoV-2",,COVID-VVnr-S-Ad26,VAL070
VAL028,"Smallpox valence, third-generation, live attenuated",,POX-3G,VAL022
VAL029,"Szczepionka VLP przeciwko grypie sezonowej, nieokreślona",,Inf-VLP,VAL364
VAL030,Rekombinowana szczepionka przeciwko Borrelia burgdorferi - białko powierzchni zewnętrznej A (OspA),,Lyme-OspA,VAL339
VAL031,Kleszczowe zapalenie mózgu,,TBE,Valence
VAL032,"Szczepionka polisacharydowa przeciwko durowi brzusznemu, nieskoniugowany antygen polisacharydowy Vi",,Ty-ViPS,VAL014
VAL033,Monowalentna żywa atenuowana doustna szczepionka przeciw polio typu 2,,mOPV2,VAL133
VAL034,"Toksyna błonicza, mała dawka",,d,VAL083
VAL035,"Szczepionka COVID-19, plazmid DNA kodujący białko kolca SARS-CoV-2",,COVID-DNA-S,VAL164
VAL036,"Szczepionka niewalentna VLP przeciwko wirusowi brodawczaka ludzkiego, typy 6, 11, 16, 18, 31, 33, 45, 52, 58",,HPV-09-valent,VAL237
VAL037,"Szczepionka meningokokowa A, nieskoniugowana polisacharydowa",,MPV-A,VAL297
VAL038,"Szczepionka COVID-19, replikujący wektor wirusa odry kodujący białko kolca SARS-CoV-2",,COVID-VVr-S-Meas,VAL398
VAL039,"Szczepionka COVID-19, VLP, rekombinowane białko kolca",,COVID-VLP-rS,VAL164
VAL040,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd4,VAL064
VAL041,"Meningokok A, polisacharydowa szczepionka skoniugowana",,MCV-A,VAL297
VAL042,"Szczepionka przeciwko polio, nieokreślona",,POLIO,Valence
VAL043,Szczepionka SARS-CoV-2 spike protein mRNA 19,,COVID-mRNA-S,VAL168
VAL044,Varicella,,VZV-LAV,Valence
VAL045,Inaktywowana cała szczepionka przeciwko paratyfusowi,,pTy-I,VAL014
VAL046,Tyfus,,Typhus,Valence
VAL047,Immunoglobulina zapalenia wątroby typu B,,IgHepB,Valence
VAL048,Inaktywowana cała szczepionka przeciwko śwince,,Or-I,VAL183
VAL049,"Polisacharydowa wartość przeciwko Haemophilus influenzae typu b, niesprzężona",,Hib-PS,VAL177
VAL050,"Szczepionka COVID-19, niereplikujący się wektor adenowirusowy 5 kodujący białko kolca SARS-CoV-2, niespecyfikowany",,COVID-VVnr-S-Ad5,VAL070
VAL051,Szczepionka przedpandemiczna przeciwko grypie A(H5N1),,AH5N1,VAL386
VAL052,"Czterowalentna szczepionka VLP przeciwko wirusowi brodawczaka ludzkiego, typy 6, 11, 16 i 18",,HPV-04-valent,VAL237
VAL053,"Szczepionka COVID-19, podjednostka białkowa, rekombinowane białko kolczaste, niespecyfikowana",,COVID-PS,VAL164
VAL054,"Szczepionka COVID-19, niereplikujący się zmodyfikowany wektor Vaccinia Virus Ankara kodujący białko kolca SARS-CoV-2",,COVID-VVnr-S-MVA,VAL397
VAL055,Immunoglobulina przeciwko gorączce,,Ig-Measles,Valence
VAL056,Cała inaktywowana trójwalentna szczepionka przeciwko polio do wstrzykiwań,,POLIO-I,VAL042
VAL057,"Szczepionka meningokokowa C, polisacharydowa skoniugowana",,MCV-C,VAL298
VAL058,"Inaktywowana wartość przeciwko grypie, dzielona lub podjednostkowa, bez określenia",,INF-SU,VAL365
VAL059,"Czterowalentna żywa atenuowana wartość przeciwko grypie, normalna dawka",,INF-L4,VAL140
VAL060,"Chikungunya virus valence, live attenuated",,CHIK-LA,VAL390
VAL061,"Szczepionka COVID-19, podjednostka białkowa, rekombinowane białko kolca, S-2P i CpG1018",,COVID-PS-CpG1018,VAL104
VAL062,"Cholera valence, protein subunit, recombinant cholera toxin subunit B (rCTB)",,O-Chol-rCTB-I,VAL021
VAL063,Antytoksyna botulinowa,,BAT,VAL420
VAL064,"Influenza valence, quadrivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted",,INF-SUNA4,VAL127
VAL065,Żywa atenuowana rekombinowana chimeryczna tetrawalentna szczepionka przeciwko dendze ,,RC-TDV,VAL150
VAL066,"Szczepionka przeciwko wirusowi replikującemu SARS-CoV-2, wirusowi grypy kodującemu białko szczytowe SARS-CoV-2",,COVID-VVr-S-Influ,VAL398
VAL067,Toksyna tężcowa,,T,Valence
VAL068,"Wartość przeciwko wirusowemu zapaleniu wątroby typu B, bez określenia",,HepB,Valence
VAL069,"Szczepionka COVID-19, niereplikujący się szympansi wektor adenowirusowy ChAdOx1 kodujący białko kolca SARS-CoV-2",,COVID-VVnr-S-ChAdOx1,VAL397
VAL070,"Szczepionka COVID-19, niereplikujący się wektor adenowirusowy kodujący białko kolczaste SARS-CoV-2, niespecyfikowana",,COVID-VVnr-S-Ad,VAL397
VAL071,Inaktywowana cała szczepionka przeciwko durowi brzusznemu,,Ty-I,VAL014
VAL072,Szczepionka przeciwko meningokokom B zawierająca fHbp z podrodzin A i B,,MenB-fHbpAB,VAL161
VAL073,"Szczepionka COVID-19, replikujący wektor wirusowy, z komórkami prezentującymi antygen",,COVID-VVr+APC,VAL162
