NUVA,label,comment,shorthand,parent
VAL000,Parent for deprecated valences,,ZZZ,Valence
VAL001,"Valência vacinal trivalente viva atenuada contra a gripe, dose normal",,Inf-L3,VAL140
VAL002,"Vacina conjugada com tifóide, antigénio vi polissacarídeo ligado a uma proteína transportadora",,Ty-ViC,VAL014
VAL003,"Valência contra a coqueluche, sem especificação",,Per,Valence
VAL004,"Valência vacinal inteira inativada da cólera, injetável",,I-Chol-I,VAL359
VAL005,"Measles valence, live attenuated",,Meas-LAV,VAL182
VAL006,"Valência anti-Brucella, sem especificação",,Bruc,Valence
VAL007,Vírus da estomatite vesicular recombinante (rVSV) - EBOV GP glicoproteína,,rVSVdG-ZEBOV-GP,VAL126
VAL008,"Valência acelular contra a coqueluche, dose padrão",,aP,VAL117
VAL009,Sporozoite vacinas de proteínas de superfície,,Mala-SPO,VAL025
VAL010,Valência contra a coqueluche inteira inativada,,wP,VAL003
VAL011,"Vacina COVID-19, subunidade de proteína, proteína recombinante do espigão (RBD)",,COVID-PS-rRBD,VAL104
VAL012,"Vacina contra a hepatite B, antigénio de superfície recombinante do vírus da hepatite B (HBsAg), 40 microgramas (dosagem do doente por diálise)",,rHBsAg-40,VAL090
VAL013,Varicella zoster virus (VZV) glicoproteína de superfície E (gE),,Shingles-gE,VAL159
VAL014,"Vacina contra a febre tifóide, não especificada",,Ty,Valence
VAL015,"Influenza valence, trivalent, inactivated, split or subunit, intramuscular or subcutaneous route, non-adjuvanted, normal dose",,INF-SUnd3,VAL122
VAL016,"Imunoglobulina da raiva, não especificada",,RIG,Valence
VAL017,"Valência acelular contra a coqueluche, dose reduzida",,ap,VAL117
VAL018,"Vacina contra a varíola de terceira geração, replicando minimamente o vírus da vacina viva",,Pox-3G-LC16,VAL028
VAL019,Difteria antitoxina,,DATx,VAL414
VAL020,"Herpes zoster valence, live attenuated",,Shingles-L,VAL160
VAL021,Vacina oral inactivada contra a cólera inteira,,O-Chol-I,VAL359
VAL022,"Smallpox valence, live attenuated, unspecified",,Smallpox-L,VAL418
VAL023,"Influenza valence, trivalent, inactivated, split or subunit, intradermal route, unspecified",,INF-SUid3,VAL024
VAL024,"Valência vacinal trivalente inativada da gripe, fracionada ou de subunidade, sem especificação",,INF-SU3,VAL058
VAL025,"Vacina contra a malária, não especificada",,Mala,Valence
VAL026,"Vacina meningocócica B:14:P1.7,16 com proteínas da membrana externa da vesícula",,MenB-OMP,VAL118
VAL027,"Vacina COVID-19, adenovírus 26 vector não replicador que codifica a proteína do espigão da SRA-CoV-2",,COVID-VVnr-S-Ad26,VAL070
VAL028,"Smallpox valence, third-generation, live attenuated",,POX-3G,VAL022
VAL029,"Vacina contra a gripe sazonal VLP, não especificada",,Inf-VLP,VAL364
VAL030,Vacina anti-Borrelia burgdorferi recombinante - proteína de superfície externa A (OspA),,Lyme-OspA,VAL339
VAL031,Encefalite transmitida por carraças,,TBE,Valence
