NUVA,NUVA label,IsAbstract,AIC,AIC label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,AIC-028473,ACT-HIB,True,1,2
VAC0001,ACT-HIB,False,AIC-028473015,ACT-HIB,True,1,2
VAC0002,AGRIPPAL,False,AIC-012875,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875011,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875023,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875035,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875047,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875050,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875062,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875074,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875086,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875098,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875100,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875112,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875124,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875136,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875148,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875151,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875163,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875175,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875187,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875199,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875201,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875213,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875225,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875237,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875249,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875252,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-012875264,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405011,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405023,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405035,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405047,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405050,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405062,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405074,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405086,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405098,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405100,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405112,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405124,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405136,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405148,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405151,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405163,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405175,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405187,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405199,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405201,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405213,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405225,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405237,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405249,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405252,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405264,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405276,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405288,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405290,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405302,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405314,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405326,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405338,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405340,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405353,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405365,AGRIPPAL,True,1,65
VAC0002,AGRIPPAL,False,AIC-026405377,AGRIPPAL,True,1,65
VAC0003,AVAXIM 160 U,False,AIC-033247014,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-033247026,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-033247038,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-033247040,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-033247053,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-033247065,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-033247077,AVAXIM 160 U,True,1,7
VAC0003,AVAXIM 160 U,False,AIC-028725,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725012,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725024,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725036,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,AIC-028725048,"Inactivated hepatitis A vaccine, unspecified",False,,
