NUVA,NUVA label,IsAbstract,ATC,ATC label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,ATC-J07AG01,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0002,AGRIPPAL,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0003,AVAXIM 160 U,False,ATC-J07BC02,"Inactivated hepatitis A vaccine, unspecified",True,18,0
VAC0004,D.T. POLIO MERIEUX,False,ATC-J07CA01,"Diphtheria-Tetanus-Polio vaccine, unspecified",True,15,0
VAC0005,DUKORAL,False,ATC-J07AE01,"Whole inactivated Cholera vaccine, unspecified",True,14,0
VAC0006,FLUVIRINE,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0007,GARDASIL,False,ATC-J07BM01,"HPV vaccine quadrivalent, unspecified",True,5,0
VAC0008,GRIPGUARD,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0009,HBVAXPRO 10 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0010,HBVAXPRO 40 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0011,HBVAXPRO 5 µg,False,ATC-J07BC01,"Hepatitis B vaccine, recombinant, unspecified",True,44,0
VAC0012,IMMUGRIP,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0013,IMOVAX POLIO,False,ATC-J07BF03,"Inactivated Polio vaccine, unspecified",True,18,0
VAC0014,INFANRIX HEXA,False,ATC-J07CA09,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0015,INFANRIXQUINTA,False,ATC-J07CA06,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",True,21,0
VAC0016,INFLUVAC,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0017,M-M-RVAXPRO,False,ATC-J07BD52,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0018,MENCEVAX ACWY,False,ATC-J07AH04,"Unconjugated meningococcal vaccine ACWY, unspecified",True,6,0
VAC0019,MENINGITEC,False,ATC-J07AH07,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0020,MENJUGATEKIT 10 µg,False,ATC-J07AH07,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0021,MUTAGRIP,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0022,NEISVAC,False,ATC-J07AH07,"Meningococcal conjugate vaccine C, unspecified",True,11,0
VAC0023,PENTAVAC,False,ATC-J07CA06,"Pentavalent Diphtheria-Tetanus-Pertussis-Hib-Polio (DTPerHibIPV) vaccine, unspecified",True,21,0
VAC0024,PNEUMO 23,False,ATC-J07AL01,"Pneumococcal unconjugated polysaccharide vaccine, unspecified",True,17,0
VAC0025,PREVENAR,False,ATC-J07AL02,"Pneumococcal conjugate vaccine, serotypes unspecified",True,20,0
VAC0026,PREVIGRIP,False,ATC-J07BB02,"Inactivated influenza vaccine, split or subunit, unspecified",True,98,0
VAC0027,R.O.R. VAX,False,ATC-J07BD52,"MMR vaccine, live attenuated, unspecified",True,26,0
VAC0028,RABIPUR,False,ATC-J07BG01,"Rabies vaccine, unspecified",True,32,0
VAC0029,REPEVAX,False,ATC-J07CA02,"TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified",True,26,0
VAC0030,REVAXIS,False,ATC-J07CA01,"Diphtheria-Tetanus-Polio vaccine, unspecified",True,15,0
VAC0031,ROTATEQ,False,ATC-J07BH02,"Rotavirus pentavalent vaccine, unspecified",True,2,0
VAC0031,ROTATEQ,False,ATC-J07BH01,"Rotavirus vaccine, unspecified",False,,
VAC0032,ROUVAX,False,ATC-J07BD01,"Live attenuated measles vaccine, unspecified",True,25,0
VAC0033,RUDIVAX,False,ATC-J07BJ01,"Rubella vaccine, live attenuated, unspecified",True,21,0
VAC0034,SPIROLEPT,False,,,,,
VAC0035,STAMARIL,False,ATC-J07BL01,"Yellow fever vaccine, unspecified",True,7,0
VAC0036,TETAGRIP,False,,,,,
VAC0037,TETRAVAC-ACELLULAIRE,False,ATC-J07CA02,"Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified",True,26,0
