CIP;NUVA;Label
CIP-3400933472016;VAC0001;ACT-HIB
CIP-3400934477010;VAC0001;ACT-HIB
CIP-3400937082839;VAC0001;ACT-HIB
CIP-3400937083089;VAC0001;ACT-HIB
CIP-3400934975448;VAC0002;AGRIPPAL
CIP-3400935080066;VAC0002;AGRIPPAL
CIP-3400935231062;VAC0002;AGRIPPAL
CIP-3400935231291;VAC0002;AGRIPPAL
CIP-3400935947383;VAC0002;AGRIPPAL
CIP-3400935947444;VAC0002;AGRIPPAL
CIP-3400935947505;VAC0002;AGRIPPAL
CIP-3400935947673;VAC0002;AGRIPPAL
CIP-3400934166525;VAC0003;AVAXIM 160 U
CIP-3400934166693;VAC0003;AVAXIM 160 U
CIP-3400934166754;VAC0003;AVAXIM 160 U
CIP-3400934166815;VAC0003;AVAXIM 160 U
CIP-3400937081658;VAC0003;AVAXIM 160 U
CIP-3400937081719;VAC0003;AVAXIM 160 U
CIP-3400937081887;VAC0003;AVAXIM 160 U
CIP-3400937081948;VAC0003;AVAXIM 160 U
CIP-3400937082020;VAC0003;AVAXIM 160 U
CIP-3400937082198;VAC0003;AVAXIM 160 U
CIP-3400931354338;VAC0004;D.T. POLIO MERIEUX
CIP-3400955372073;VAC0004;D.T. POLIO MERIEUX
CIP-3400936512412;VAC0005;DUKORAL
CIP-3400936512580;VAC0005;DUKORAL
CIP-3400936512641;VAC0005;DUKORAL
CIP-3400933607852;VAC0006;FLUVIRINE
CIP-3400955897767;VAC0006;FLUVIRINE
CIP-3400937712873;VAC0007;GARDASIL
CIP-3400937712934;VAC0007;GARDASIL
CIP-3400937713016;VAC0007;GARDASIL
CIP-3400937713184;VAC0007;GARDASIL
CIP-3400937713245;VAC0007;GARDASIL
CIP-3400937713306;VAC0007;GARDASIL
CIP-3400937714365;VAC0007;GARDASIL
CIP-3400957009205;VAC0007;GARDASIL
CIP-3400957009373;VAC0007;GARDASIL
CIP-3400957009434;VAC0007;GARDASIL
CIP-3400957009663;VAC0007;GARDASIL
CIP-3400957009724;VAC0007;GARDASIL
CIP-3400957009892;VAC0007;GARDASIL
CIP-3400957009953;VAC0007;GARDASIL
CIP-3400957010034;VAC0007;GARDASIL
CIP-3400957010263;VAC0007;GARDASIL
CIP-3400957011093;VAC0007;GARDASIL
CIP-3400957144777;VAC0007;GARDASIL
CIP-3400957144838;VAC0007;GARDASIL
CIP-3400957145088;VAC0007;GARDASIL
CIP-3400957145149;VAC0007;GARDASIL
CIP-3400935493828;VAC0008;GRIPGUARD
CIP-3400935524447;VAC0008;GRIPGUARD
CIP-3400937084901;VAC0008;GRIPGUARD
CIP-3400937085090;VAC0008;GRIPGUARD
CIP-3400935676412;VAC0009;HBVAXPRO 10 µg
CIP-3400935947215;VAC0009;HBVAXPRO 10 µg
CIP-3400936924413;VAC0009;HBVAXPRO 10 µg
CIP-3400936924581;VAC0009;HBVAXPRO 10 µg
CIP-3400936924642;VAC0009;HBVAXPRO 10 µg
CIP-3400936924703;VAC0009;HBVAXPRO 10 µg
CIP-3400956213856;VAC0009;HBVAXPRO 10 µg
CIP-3400957221980;VAC0009;HBVAXPRO 10 µg
CIP-3400935676580;VAC0010;HBVAXPRO 40 µg
CIP-3400935396334;VAC0011;HBVAXPRO 5 µg
CIP-3400935676351;VAC0011;HBVAXPRO 5 µg
CIP-3400936408463;VAC0011;HBVAXPRO 5 µg
CIP-3400936923812;VAC0011;HBVAXPRO 5 µg
CIP-3400936923980;VAC0011;HBVAXPRO 5 µg
