NUVA,NUVA label,IsAbstract,CIP,CIP label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,CIP-3400933472016,ACT-HIB,True,1,4
VAC0001,ACT-HIB,False,CIP-3400934477010,ACT-HIB,True,1,4
VAC0001,ACT-HIB,False,CIP-3400937082839,ACT-HIB,True,1,4
VAC0001,ACT-HIB,False,CIP-3400937083089,ACT-HIB,True,1,4
VAC0002,AGRIPPAL,False,CIP-3400934975448,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935080066,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935231062,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935231291,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935947383,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935947444,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935947505,AGRIPPAL,True,1,8
VAC0002,AGRIPPAL,False,CIP-3400935947673,AGRIPPAL,True,1,8
VAC0003,AVAXIM 160 U,False,CIP-3400934166525,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400934166693,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400934166754,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400934166815,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400937081658,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400937081719,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400937081887,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400937081948,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400937082020,AVAXIM 160 U,True,1,10
VAC0003,AVAXIM 160 U,False,CIP-3400937082198,AVAXIM 160 U,True,1,10
VAC0004,D.T. POLIO MERIEUX,False,CIP-3400931354338,D.T. POLIO MERIEUX,True,1,2
VAC0004,D.T. POLIO MERIEUX,False,CIP-3400955372073,D.T. POLIO MERIEUX,True,1,2
VAC0005,DUKORAL,False,CIP-3400936512412,DUKORAL,True,1,3
VAC0005,DUKORAL,False,CIP-3400936512580,DUKORAL,True,1,3
VAC0005,DUKORAL,False,CIP-3400936512641,DUKORAL,True,1,3
VAC0006,FLUVIRINE,False,CIP-3400933607852,FLUVIRINE,True,1,2
VAC0006,FLUVIRINE,False,CIP-3400955897767,FLUVIRINE,True,1,2
VAC0007,GARDASIL,False,CIP-3400937712873,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400937712934,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400937713016,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400937713184,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400937713245,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400937713306,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400937714365,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009205,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009373,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009434,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009663,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009724,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009892,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957009953,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957010034,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957010263,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957011093,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957144777,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957144838,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957145088,GARDASIL,True,1,21
VAC0007,GARDASIL,False,CIP-3400957145149,GARDASIL,True,1,21
VAC0008,GRIPGUARD,False,CIP-3400935493828,GRIPGUARD,True,1,4
VAC0008,GRIPGUARD,False,CIP-3400935524447,GRIPGUARD,True,1,4
