CNK;NUVA;Label
CNK-0320879;VAC0001;ACT-HIB
CNK-2661023;VAC0002;AGRIPPAL
CNK-2730083;VAC0002;AGRIPPAL
CNK-2801553;VAC0002;AGRIPPAL
CNK-2929503;VAC0002;AGRIPPAL
CNK-1321058;VAC0003;AVAXIM 160 U
CNK-2285575;VAC0005;DUKORAL
CNK-2415586;VAC0007;GARDASIL
CNK-1657907;VAC0009;HBVAXPRO 10 µg
CNK-1657915;VAC0009;HBVAXPRO 10 µg
CNK-1657949;VAC0009;HBVAXPRO 10 µg
CNK-2246775;VAC0009;HBVAXPRO 10 µg
CNK-2459360;VAC0009;HBVAXPRO 10 µg
CNK-1657923;VAC0010;HBVAXPRO 40 µg
CNK-1657931;VAC0011;HBVAXPRO 5 µg
CNK-0083063;VAC0013;IMOVAX POLIO
CNK-1665363;VAC0014;INFANRIX HEXA
CNK-0385534;VAC0016;INFLUVAC
CNK-1035559;VAC0016;INFLUVAC
CNK-1089093;VAC0016;INFLUVAC
CNK-1167410;VAC0016;INFLUVAC
CNK-1233501;VAC0016;INFLUVAC
CNK-1320993;VAC0016;INFLUVAC
CNK-1391788;VAC0016;INFLUVAC
CNK-1451772;VAC0016;INFLUVAC
CNK-1540434;VAC0016;INFLUVAC
CNK-1619204;VAC0016;INFLUVAC
CNK-1703255;VAC0016;INFLUVAC
CNK-1789452;VAC0016;INFLUVAC
CNK-2118412;VAC0016;INFLUVAC
CNK-2214252;VAC0016;INFLUVAC
CNK-2318442;VAC0016;INFLUVAC
CNK-2394955;VAC0016;INFLUVAC
CNK-2488781;VAC0016;INFLUVAC
CNK-2605343;VAC0016;INFLUVAC
CNK-2710176;VAC0016;INFLUVAC
CNK-2830065;VAC0016;INFLUVAC
CNK-2933802;VAC0016;INFLUVAC
CNK-2933810;VAC0016;INFLUVAC
CNK-3030186;VAC0016;INFLUVAC
CNK-3030194;VAC0016;INFLUVAC
CNK-3139912;VAC0016;INFLUVAC
CNK-3139938;VAC0016;INFLUVAC
CNK-3260320;VAC0016;INFLUVAC
CNK-3260338;VAC0016;INFLUVAC
CNK-3424561;VAC0016;INFLUVAC
CNK-3424587;VAC0016;INFLUVAC
CNK-3561727;VAC0016;INFLUVAC
CNK-3561735;VAC0016;INFLUVAC
CNK-4877874;VAC0016;INFLUVAC
CNK-2324911;VAC0017;M-M-RVAXPRO
CNK-00305847;VAC0018;MENCEVAX ACWY
CNK-2473809;VAC0018;MENCEVAX ACWY
CNK-1549278;VAC0019;MENINGITEC
CNK-1658376;VAC0019;MENINGITEC
CNK-2445344;VAC0019;MENINGITEC
CNK-0385542;VAC0021;MUTAGRIP
CNK-1035567;VAC0021;MUTAGRIP
CNK-1089119;VAC0021;MUTAGRIP
CNK-1169341;VAC0021;MUTAGRIP
CNK-1233519;VAC0021;MUTAGRIP
CNK-1321009;VAC0021;MUTAGRIP
CNK-1391861;VAC0021;MUTAGRIP
CNK-1451764;VAC0021;MUTAGRIP
CNK-1540442;VAC0021;MUTAGRIP
CNK-1619220;VAC0021;MUTAGRIP
CNK-1703214;VAC0021;MUTAGRIP
CNK-1788660;VAC0021;MUTAGRIP
CNK-2118016;VAC0021;MUTAGRIP
CNK-2214245;VAC0021;MUTAGRIP
CNK-2394930;VAC0021;MUTAGRIP
CNK-1696392;VAC0022;NEISVAC
CNK-1185685;VAC0024;PNEUMO 23
CNK-1551282;VAC0025;PREVENAR
CNK-1658384;VAC0025;PREVENAR
CNK-2765444;VAC0028;RABIPUR
CNK-1526425;VAC0030;REVAXIS
CNK-2231900;VAC0030;REVAXIS
CNK-2322436;VAC0031;ROTATEQ
CNK-3138443;VAC0031;ROTATEQ
CNK-4280848;VAC0031;ROTATEQ
CNK-4490991;VAC0031;ROTATEQ
CNK-1152743;VAC0035;STAMARIL
CNK-2231926;VAC0035;STAMARIL
CNK-4654869;VAC0035;STAMARIL
CNK-1498062;VAC0037;TETRAVAC-ACELLULAIRE
CNK-2231868;VAC0037;TETRAVAC-ACELLULAIRE
CNK-1029719;VAC0041;TYPHIM VI
CNK-2231934;VAC0041;TYPHIM VI
CNK-2385136;VAC0044;CERVARIX
CNK-3147410;VAC0044;CERVARIX
CNK-1035849;VAC0045;ENGERIX B 10 µg
CNK-0061358;VAC0046;ENGERIX B 20 µg
CNK-1149939;VAC0049;HAVRIX 1440 U/1mL
CNK-2542587;VAC0049;HAVRIX 1440 U/1mL
CNK-0278424;VAC0050;HAVRIX 720 U/0,5 mL
CNK-1345545;VAC0050;HAVRIX 720 U/0,5 mL
CNK-1358167;VAC0053;PRIORIX
CNK-0825786;VAC0054;VACCIN RABIQUE PASTEUR
CNK-2231967;VAC0054;VACCIN RABIQUE PASTEUR
CNK-1272665;VAC0057;TWINRIX 20 µg
CNK-1327485;VAC0058;TWINRIX 10 µg
CNK-1460369;VAC0059;TYPHERIX
CNK-0064527;VAC0060;VARILRIX
CNK-3906781;VAC0061;VARIVAX
CNK-0385559;VAC0062;VAXIGRIP
CNK-1035575;VAC0062;VAXIGRIP
CNK-1089101;VAC0062;VAXIGRIP
CNK-1169358;VAC0062;VAXIGRIP
CNK-1233527;VAC0062;VAXIGRIP
CNK-1321017;VAC0062;VAXIGRIP
CNK-1391879;VAC0062;VAXIGRIP
CNK-1451780;VAC0062;VAXIGRIP
CNK-1540459;VAC0062;VAXIGRIP
CNK-1619196;VAC0062;VAXIGRIP
CNK-1703206;VAC0062;VAXIGRIP
CNK-1788645;VAC0062;VAXIGRIP
CNK-2118024;VAC0062;VAXIGRIP
CNK-2214237;VAC0062;VAXIGRIP
CNK-2318475;VAC0062;VAXIGRIP
CNK-2394914;VAC0062;VAXIGRIP
CNK-2488773;VAC0062;VAXIGRIP
CNK-2591774;VAC0062;VAXIGRIP
CNK-2699296;VAC0062;VAXIGRIP
CNK-2807030;VAC0062;VAXIGRIP
CNK-2936730;VAC0062;VAXIGRIP
CNK-3038023;VAC0062;VAXIGRIP
CNK-3147477;VAC0062;VAXIGRIP
CNK-3260353;VAC0062;VAXIGRIP
CNK-3431970;VAC0062;VAXIGRIP
CNK-4889275;VAC0062;VAXIGRIP
CNK-1303387;VAC0063;TETRACOQ
CNK-1097369;VAC0067;HAVRIX 360 U
CNK-2765469;VAC0073;IXIARO
CNK-2620888;VAC0083;SYNFLORIX
CNK-0132704;VAC0094;VACCIN SABIN POLIOVAC MERIEUX
CNK-2195899;VAC0098;HEXAVAC
CNK-2469567;VAC0121;PRIORIX-TETRA
CNK-2657088;VAC0123;PREVENAR 13
CNK-3496528;VAC0123;PREVENAR 13
CNK-3813797;VAC0123;PREVENAR 13
CNK-3813805;VAC0123;PREVENAR 13
CNK-4200440;VAC0123;PREVENAR 13
CNK-4201778;VAC0123;PREVENAR 13
CNK-0045344;VAC0126;HEVAC B
CNK-1210764;VAC0127;HB VAX DNA 5 µg
CNK-1273317;VAC0127;HB VAX DNA 5 µg
CNK-1317817;VAC0127;HB VAX DNA 5 µg
CNK-0453738;VAC0128;HB VAX DNA 10 µg
CNK-1273309;VAC0128;HB VAX DNA 10 µg
CNK-1265412;VAC0129;HB VAX DNA 40 µg
CNK-2706661;VAC0140;INTANZA
CNK-2807063;VAC0140;INTANZA
CNK-2936789;VAC0140;INTANZA
CNK-3038031;VAC0140;INTANZA
CNK-3147469;VAC0140;INTANZA
CNK-2765428;VAC0141;MENVEO
CNK-3062411;VAC0141;MENVEO
CNK-2324937;VAC0161;ZOSTAVAX
CNK-2807048;VAC0164;INTANZA 9 µg
CNK-1498070;VAC0165;VAQTA 25 U/0,5 mL
CNK-3020278;VAC0165;VAQTA 25 U/0,5 mL
CNK-1422765;VAC0166;VAQTA 50 U
CNK-3019601;VAC0166;VAQTA 50 U
CNK-4121596;VAC0174;PROQUAD
CNK-1035591;VAC0191;ARILVAX
CNK-0102590;VAC0192;ATTENUVAX
CNK-1572452;VAC0227;EPAXAL
CNK-0135392;VAC0228;ERVEVAX RA 27/3
CNK-2661015;VAC0230;FLUAD
CNK-2729358;VAC0230;FLUAD
CNK-4889218;VAC0230;FLUAD
CNK-1103514;VAC0235;FLUVIRIN
CNK-1262666;VAC0235;FLUVIRIN
CNK-1320985;VAC0235;FLUVIRIN
CNK-1391853;VAC0235;FLUVIRIN
CNK-1451806;VAC0235;FLUVIRIN
CNK-1540418;VAC0235;FLUVIRIN
CNK-1619212;VAC0235;FLUVIRIN
CNK-1703248;VAC0235;FLUVIRIN
CNK-1789445;VAC0235;FLUVIRIN
CNK-1093202;VAC0247;HIBTITER
CNK-1177682;VAC0264;INFANRIX
CNK-0056580;VAC0299;MERUVAX II
CNK-0830091;VAC0301;MMR
CNK-0058032;VAC0315;MUMPSVAX
CNK-0811422;VAC0322;PARIORIX
CNK-1181718;VAC0336;PNEUMOVAX
CNK-1655562;VAC0336;PNEUMOVAX
CNK-3149358;VAC0336;PNEUMOVAX
CNK-3395761;VAC0336;PNEUMOVAX
CNK-0128603;VAC0359;RIMEVAX
CNK-0135327;VAC0383;ANATOXAL TE
CNK-0069914;VAC0451;VIVOTIF
CNK-3872918;VAC0451;VIVOTIF
CNK-3707767;VAC0479;TRIAXIS
CNK-2210151;VAC0480;FENDRIX
CNK-2950996;VAC0486;NIMENRIX
CNK-4630208;VAC0486;NIMENRIX
CNK-0288415;VAC0489;TRIMOVAX
CNK-3032513;VAC0495;BEXSERO
CNK-3050176;VAC0510;HEXYON
CNK-4615423;VAC0510;HEXYON
CNK-3217783;VAC0513;HEPATYRIX
CNK-2284024;VAC0514;ROTARIX
CNK-2663532;VAC0514;ROTARIX
CNK-4183133;VAC0514;ROTARIX
CNK-4332086;VAC0514;ROTARIX
CNK-4604070;VAC0520;IMVANEX
CNK-3402799;VAC0523;GARDASIL 9
CNK-0135418;VAC0524;TEVAX
CNK-1075704;VAC0524;TEVAX
CNK-1659663;VAC0534;MENJUGATE 10 µg
CNK-3652112;VAC0535;VAXELIS
CNK-1734094;VAC0541;BOOSTRIX
CNK-3561792;VAC0560;VAXIGRIPTETRA
CNK-3742780;VAC0560;VAXIGRIPTETRA
CNK-4670576;VAC0560;VAXIGRIPTETRA
CNK-4674438;VAC0560;VAXIGRIPTETRA
CNK-3720935;VAC0562;INFLUVAC TETRA
CNK-3722881;VAC0562;INFLUVAC TETRA
CNK-4172672;VAC0562;INFLUVAC TETRA
CNK-4490843;VAC0562;INFLUVAC TETRA
CNK-4665212;VAC0562;INFLUVAC TETRA
CNK-3258282;VAC0563;ALPHA-RIX-TETRA
CNK-3431988;VAC0563;ALPHA-RIX-TETRA
CNK-3562394;VAC0563;ALPHA-RIX-TETRA
CNK-3745577;VAC0563;ALPHA-RIX-TETRA
