NUVA,NUVA label,IsAbstract,CPT,CPT label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,CPT-90648,"Hib PRP-T conjugated vaccine, unspecified",True,10,0
VAC0001,ACT-HIB,False,CPT-90737,"Haemophilus influenzae B (or Hib) vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0002,AGRIPPAL,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0002,AGRIPPAL,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,CPT-90632,"Inactivated hepatitis A vaccine, adult dose, unspecified",True,5,0
VAC0003,AVAXIM 160 U,False,CPT-90730,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0004,D.T. POLIO MERIEUX,False,,,,,
VAC0005,DUKORAL,False,CPT-90725,"Cholera vaccine, unspecified",True,17,0
VAC0006,FLUVIRINE,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0006,FLUVIRINE,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0006,FLUVIRINE,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0007,GARDASIL,False,CPT-90649,"HPV vaccine quadrivalent, unspecified",True,5,0
VAC0008,GRIPGUARD,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0008,GRIPGUARD,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0008,GRIPGUARD,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0008,GRIPGUARD,False,CPT-90656,"Influenza vaccine, unspecified",False,,
VAC0008,GRIPGUARD,False,CPT-90724,"Influenza vaccine, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,CPT-90744,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0009,HBVAXPRO 10 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,CPT-90740,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",True,5,0
VAC0010,HBVAXPRO 40 µg,False,CPT-90747,"Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified",True,5,0
VAC0010,HBVAXPRO 40 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,CPT-90731,"Hepatitis B vaccine, recombinant, unspecified",True,8,0
VAC0012,IMMUGRIP,False,CPT-90653,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0012,IMMUGRIP,False,CPT-90673,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0012,IMMUGRIP,False,CPT-90655,"Influenza vaccine, unspecified",False,,
VAC0012,IMMUGRIP,False,CPT-90656,"Influenza vaccine, unspecified",False,,
