CTI,NUVA,Label
CTI-158724,VAC0001,ACT-HIB
CTI-185473,VAC0003,AVAXIM 160 U
CTI-264022,VAC0005,DUKORAL
CTI-264031,VAC0005,DUKORAL
CTI-264047,VAC0005,DUKORAL
CTI-288434,VAC0007,GARDASIL
CTI-288443,VAC0007,GARDASIL
CTI-288452,VAC0007,GARDASIL
CTI-288461,VAC0007,GARDASIL
CTI-288477,VAC0007,GARDASIL
CTI-288486,VAC0007,GARDASIL
CTI-288495,VAC0007,GARDASIL
CTI-288617,VAC0007,GARDASIL
CTI-323687,VAC0007,GARDASIL
CTI-323696,VAC0007,GARDASIL
CTI-323705,VAC0007,GARDASIL
CTI-323714,VAC0007,GARDASIL
CTI-223842,VAC0009,HBVAXPRO 10 µg
CTI-223851,VAC0009,HBVAXPRO 10 µg
CTI-223885,VAC0009,HBVAXPRO 10 µg
CTI-223903,VAC0009,HBVAXPRO 10 µg
CTI-284593,VAC0009,HBVAXPRO 10 µg
CTI-284602,VAC0009,HBVAXPRO 10 µg
CTI-284611,VAC0009,HBVAXPRO 10 µg
CTI-284627,VAC0009,HBVAXPRO 10 µg
CTI-328352,VAC0009,HBVAXPRO 10 µg
CTI-223921,VAC0010,HBVAXPRO 40 µg
CTI-223781,VAC0011,HBVAXPRO 5 µg
CTI-223815,VAC0011,HBVAXPRO 5 µg
CTI-223824,VAC0011,HBVAXPRO 5 µg
CTI-248954,VAC0011,HBVAXPRO 5 µg
CTI-284532,VAC0011,HBVAXPRO 5 µg
CTI-284541,VAC0011,HBVAXPRO 5 µg
CTI-284557,VAC0011,HBVAXPRO 5 µg
CTI-284566,VAC0011,HBVAXPRO 5 µg
CTI-284575,VAC0011,HBVAXPRO 5 µg
CTI-284584,VAC0011,HBVAXPRO 5 µg
CTI-328334,VAC0011,HBVAXPRO 5 µg
CTI-328343,VAC0011,HBVAXPRO 5 µg
CTI-133637,VAC0013,IMOVAX POLIO
CTI-219545,VAC0014,INFANRIX HEXA
CTI-219554,VAC0014,INFANRIX HEXA
CTI-219572,VAC0014,INFANRIX HEXA
CTI-219581,VAC0014,INFANRIX HEXA
CTI-490186,VAC0014,INFANRIX HEXA
CTI-662891,VAC0016,INFLUVAC
CTI-287454,VAC0017,M-M-RVAXPRO
CTI-287463,VAC0017,M-M-RVAXPRO
CTI-287497,VAC0017,M-M-RVAXPRO
CTI-287506,VAC0017,M-M-RVAXPRO
CTI-287682,VAC0017,M-M-RVAXPRO
CTI-287691,VAC0017,M-M-RVAXPRO
CTI-287707,VAC0017,M-M-RVAXPRO
CTI-287716,VAC0017,M-M-RVAXPRO
CTI-287725,VAC0017,M-M-RVAXPRO
CTI-287734,VAC0017,M-M-RVAXPRO
CTI-287743,VAC0017,M-M-RVAXPRO
CTI-561591,VAC0017,M-M-RVAXPRO
CTI-475235,VAC0020,MENJUGATEKIT 10 µg
CTI-475244,VAC0020,MENJUGATEKIT 10 µg
CTI-196131,VAC0023,PENTAVAC
CTI-500231,VAC0028,RABIPUR
CTI-207873,VAC0030,REVAXIS
CTI-288881,VAC0031,ROTATEQ
CTI-288897,VAC0031,ROTATEQ
CTI-185062,VAC0035,STAMARIL
CTI-196122,VAC0037,TETRAVAC-ACELLULAIRE
CTI-160307,VAC0041,TYPHIM VI
CTI-303457,VAC0044,CERVARIX
CTI-303466,VAC0044,CERVARIX
CTI-303475,VAC0044,CERVARIX
CTI-303484,VAC0044,CERVARIX
CTI-303493,VAC0044,CERVARIX
CTI-303511,VAC0044,CERVARIX
CTI-303527,VAC0044,CERVARIX
CTI-303536,VAC0044,CERVARIX
CTI-331737,VAC0044,CERVARIX
CTI-331746,VAC0044,CERVARIX
CTI-331755,VAC0044,CERVARIX
CTI-252682,VAC0046,ENGERIX B 20 µg
CTI-252691,VAC0046,ENGERIX B 20 µg
CTI-167386,VAC0049,HAVRIX 1440 U/1mL
CTI-167395,VAC0049,HAVRIX 1440 U/1mL
CTI-180223,VAC0050,"HAVRIX 720 U/0,5 mL"
CTI-180232,VAC0050,"HAVRIX 720 U/0,5 mL"
CTI-190872,VAC0053,PRIORIX
CTI-368067,VAC0053,PRIORIX
CTI-439336,VAC0053,PRIORIX
CTI-129026,VAC0060,VARILRIX
CTI-588000,VAC0060,VARILRIX
CTI-255954,VAC0061,VARIVAX
CTI-663512,VAC0062,VAXIGRIP
CTI-340067,VAC0073,IXIARO
CTI-340076,VAC0073,IXIARO
CTI-338545,VAC0083,SYNFLORIX
CTI-338554,VAC0083,SYNFLORIX
CTI-338563,VAC0083,SYNFLORIX
CTI-338572,VAC0083,SYNFLORIX
CTI-338581,VAC0083,SYNFLORIX
CTI-338597,VAC0083,SYNFLORIX
CTI-338606,VAC0083,SYNFLORIX
CTI-338615,VAC0083,SYNFLORIX
CTI-338624,VAC0083,SYNFLORIX
CTI-365425,VAC0083,SYNFLORIX
CTI-520551,VAC0083,SYNFLORIX
CTI-520560,VAC0083,SYNFLORIX
CTI-360534,VAC0123,PREVENAR 13
CTI-360543,VAC0123,PREVENAR 13
CTI-360552,VAC0123,PREVENAR 13
CTI-360561,VAC0123,PREVENAR 13
CTI-360577,VAC0123,PREVENAR 13
CTI-360586,VAC0123,PREVENAR 13
CTI-472844,VAC0123,PREVENAR 13
CTI-472853,VAC0123,PREVENAR 13
CTI-472862,VAC0123,PREVENAR 13
CTI-472871,VAC0123,PREVENAR 13
CTI-472880,VAC0123,PREVENAR 13
CTI-519324,VAC0123,PREVENAR 13
CTI-519333,VAC0123,PREVENAR 13
CTI-519342,VAC0123,PREVENAR 13
CTI-519351,VAC0123,PREVENAR 13
CTI-519360,VAC0123,PREVENAR 13
CTI-390022,VAC0141,MENVEO
CTI-398885,VAC0141,MENVEO
CTI-591475,VAC0141,MENVEO
CTI-663596,VAC0141,MENVEO
CTI-663597,VAC0141,MENVEO
CTI-287777,VAC0161,ZOSTAVAX
CTI-287944,VAC0161,ZOSTAVAX
CTI-287953,VAC0161,ZOSTAVAX
