CVC;NUVA;Label
CVC-28531000087107;VAC0648;COVID-19 vaccine, unspecified
CVC-7601000087109;VAC0164;INTANZA 9 µg
CVC-108729007;VAC0159;Chickenpox vaccine, unspecified
CVC-9542007;VAC0863;Hepatitis B immunoglobulin, unspecified
CVC-7811000087105;VAC0158;Rotavirus vaccine, unspecified
CVC-28951000087107;VAC0666;JCOVDEN
CVC-45891000087103;VAC0831;Ebola vaccine, unspecified
CVC-37691000087106;VAC1023;COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
CVC-386013003;VAC0113;Rubella vaccine, live attenuated, unspecified
CVC-333621002;VAC0132;Tetanus vaccine, unspecified
CVC-7221000087101;VAC0457;YF-VAX
CVC-7411000087108;VAC0161;ZOSTAVAX
CVC-7521000087104;VAC0554;PEDIACEL
CVC-22181000087103;VAC0023;PENTAVAC
CVC-79873000;VAC1069;Vaccinia immune globulin
CVC-7101000087101;VAC0152;Unconjugated meningococcal vaccine ACWY, unspecified
CVC-28391000087101;VAC0483;FLUAD PAEDIATRICS
CVC-37701000087106;VAC1033;COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
CVC-424519000;VAC0156;HPV Vaccine
CVC-7341000087101;VAC0044;CERVARIX
CVC-19401000087100;VAC0938;Quadrivalent influenza vaccine, unspecified
CVC-35736007;VAC0144;Cholera vaccine, unspecified
CVC-19361000087106;VAC1100;BOTULISM ANTITOXIN BEHRING
CVC-86337009;VAC0497;Tetanus immunoglobulin, unspecified
CVC-7261000087106;VAC0814;Pneumococcal conjugate vaccine, serotypes unspecified
CVC-33471000087102;VAC0659;ZIFIVAX ANHUI COVID-19 VACCINE
CVC-7471000087101;VAC0347;QUADRACEL
CVC-33881000087102;VAC0658;COMIRNATY 30 µg BIONTECH-PFIZER
CVC-333697005;VAC0921;Japanese encephalitis vaccine, unspecified
CVC-31341000087103;VAC0670;SPOUTNIK V
CVC-11866009;VAC0812;Inactivated whole plague vaccine, unspecified
CVC-7281000087100;VAC0550;Measles-Rubella vaccine, unspecified
CVC-386012008;VAC0114;Live attenuated measles vaccine, unspecified
CVC-45401000087105;VAC0475;FOCLIVIA
CVC-20601000087103;VAC0857;Diphtheria-Tetanus-Pertussis-Hepatitis B vaccine, unspecified
CVC-19411000087103;VAC0378;SYNAGIS (PALIZIVUMAB)
CVC-33411000087109;VAC0768;COVIVAC
CVC-35651000087105;VAC1019;SPIKEVAX 0,1 mg/mL MODERNA
