NUVA;NUVA label;IsAbstract;CVC;CVC label;Best;Blur;Equiv
VAC0001;ACT-HIB;False;CVC-7031000087105;ACT-HIB;True;1;1
VAC0001;ACT-HIB;False;CVC-333680004;Haemophilus influenzae B (or Hib) vaccine, unspecified;False;;
VAC0002;AGRIPPAL;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0003;AVAXIM 160 U;False;CVC-6851000087107;AVAXIM 160 U;True;1;1
VAC0004;D.T. POLIO MERIEUX;False;CVC-7901000087103;DTIPV vaccine, unspecified;True;9;0
VAC0005;DUKORAL;False;CVC-24201000087108;DUKORAL;True;1;2
VAC0005;DUKORAL;False;CVC-7401000087106;DUKORAL;True;1;2
VAC0005;DUKORAL;False;CVC-35736007;Cholera vaccine, unspecified;False;;
VAC0006;FLUVIRINE;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0007;GARDASIL;False;CVC-7351000087103;GARDASIL;True;1;1
VAC0007;GARDASIL;False;CVC-424519000;HPV Vaccine;False;;
VAC0007;GARDASIL;False;CVC-7801000087108;HPV vaccine quadrivalent, unspecified;False;;
VAC0008;GRIPGUARD;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0009;HBVAXPRO 10 µg;False;CVC-9831000087108;Hepatitis B vaccine, monovalent, pediatric dose, unspecified;True;14;0
VAC0009;HBVAXPRO 10 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0010;HBVAXPRO 40 µg;False;CVC-8781000087106;Hepatitis B vaccine, monovalent, dialysis patient dosage, unspecified;True;5;0
VAC0010;HBVAXPRO 40 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;False;;
VAC0011;HBVAXPRO 5 µg;False;CVC-34689006;Hepatitis B vaccine, recombinant, unspecified;True;6;0
VAC0012;IMMUGRIP;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0013;IMOVAX POLIO;False;CVC-7361000087100;IMOVAX POLIO;True;1;1
VAC0013;IMOVAX POLIO;False;CVC-111164008;Polio vaccine, unspecified;False;;
VAC0013;IMOVAX POLIO;False;CVC-125688000;Inactivated Polio vaccine, unspecified;False;;
VAC0014;INFANRIX HEXA;False;CVC-7451000087107;INFANRIX HEXA;True;1;1
VAC0014;INFANRIX HEXA;False;CVC-7731000087108;Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified;False;;
VAC0015;INFANRIXQUINTA;False;CVC-7501000087105;INFANRIXQUINTA;True;1;1
VAC0015;INFANRIXQUINTA;False;CVC-7931000087106;Pentavalent DTaPHibIPV vaccine, unspecified;False;;
VAC0015;INFANRIXQUINTA;False;CVC-8221000087100;Pentavalent DTaPHibIPV vaccine, unspecified;False;;
VAC0016;INFLUVAC;False;CVC-22681000087109;INFLUVAC;True;1;2
VAC0016;INFLUVAC;False;CVC-7621000087103;INFLUVAC;True;1;2
VAC0016;INFLUVAC;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;False;;
VAC0017;M-M-RVAXPRO;False;CVC-61153008;MMR vaccine, live attenuated, unspecified;True;24;0
VAC0018;MENCEVAX ACWY;False;CVC-420261000;Unconjugated meningococcal vaccine ACWY, unspecified;True;5;0
VAC0018;MENCEVAX ACWY;False;CVC-7101000087101;Unconjugated meningococcal vaccine ACWY, unspecified;True;5;0
VAC0019;MENINGITEC;False;CVC-7061000087103;MENINGITEC;True;1;1
VAC0019;MENINGITEC;False;CVC-359068008;Meningococcal conjugate vaccine C, unspecified;False;;
VAC0020;MENJUGATEKIT 10 µg;False;CVC-359068008;Meningococcal conjugate vaccine C, unspecified;True;8;0
VAC0021;MUTAGRIP;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0022;NEISVAC;False;CVC-359068008;Meningococcal conjugate vaccine C, unspecified;True;8;0
VAC0023;PENTAVAC;False;CVC-22181000087103;PENTAVAC;True;1;1
VAC0023;PENTAVAC;False;CVC-7931000087106;Pentavalent DTaPHibIPV vaccine, unspecified;False;;
VAC0023;PENTAVAC;False;CVC-8221000087100;Pentavalent DTaPHibIPV vaccine, unspecified;False;;
VAC0024;PNEUMO 23;False;CVC-7631000087101;PNEUMO 23;True;1;1
VAC0024;PNEUMO 23;False;CVC-135642004;Pneumococcal vaccine, unspecified;False;;
VAC0024;PNEUMO 23;False;CVC-333598008;Pneumococcal vaccine, unspecified;False;;
VAC0024;PNEUMO 23;False;CVC-7251000087108;Pneumococcal polysaccharide vaccine 23-valent, unspecified;False;;
VAC0025;PREVENAR;False;CVC-125714002;Pneumococcal conjugate vaccine, 7 valent, unspecified;True;2;0
VAC0025;PREVENAR;False;CVC-135642004;Pneumococcal vaccine, unspecified;False;;
VAC0025;PREVENAR;False;CVC-333598008;Pneumococcal vaccine, unspecified;False;;
VAC0025;PREVENAR;False;CVC-7261000087106;Pneumococcal conjugate vaccine, serotypes unspecified;False;;
VAC0026;PREVIGRIP;False;CVC-7691000087100;Trivalent inactivated influenza vaccine, unspecified;True;40;0
VAC0027;R.O.R. VAX;False;CVC-61153008;MMR vaccine, live attenuated, unspecified;True;24;0
VAC0028;RABIPUR;False;;;;
VAC0029;REPEVAX;False;CVC-7891000087104;TdapIPV - Diphtheria-Tetanus-Pertussis-Polio vaccine, low dose, unspecified;True;5;0
VAC0029;REPEVAX;False;CVC-7871000087103;Diphtheria-Tetanus-Pertussis-Polio vaccine, unspecified;False;;
VAC0030;REVAXIS;False;CVC-7911000087101;dTIPV - Diphtheria-Tetanus-Polio, low dose, unspecified;True;3;0
VAC0031;ROTATEQ;False;CVC-7201000087107;ROTATEQ;True;1;1
VAC0031;ROTATEQ;False;CVC-116077000;Rotavirus vaccine, unspecified;False;;
VAC0031;ROTATEQ;False;CVC-7811000087105;Rotavirus vaccine, unspecified;False;;
