NUVA,NUVA label,IsAbstract,CVX,CVX label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,CVX-48,"Hib PRP-T conjugated vaccine, unspecified",True,10,0
VAC0001,ACT-HIB,False,CVX-17,"Haemophilus influenzae B (or Hib) vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0002,AGRIPPAL,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0002,AGRIPPAL,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0002,AGRIPPAL,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,CVX-52,"Inactivated hepatitis A vaccine, adult dose, unspecified",True,5,0
VAC0003,AVAXIM 160 U,False,CVX-85,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0004,D.T. POLIO MERIEUX,False,CVX-195,"DTIPV vaccine, unspecified",True,9,0
VAC0005,DUKORAL,False,CVX-172,"Cholera vaccine containing recombinant cholera toxin B subunit and inactivated whole V. cholerae O1 bacteria, unspecified",True,2,0
VAC0005,DUKORAL,False,CVX-173,"Inactivated whole virion oral cholera vaccine, unspecified",False,,
VAC0005,DUKORAL,False,CVX-26,"Cholera vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0006,FLUVIRINE,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0006,FLUVIRINE,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0006,FLUVIRINE,False,CVX-88,"Influenza vaccine, unspecified",False,,
VAC0007,GARDASIL,False,CVX-62,"HPV vaccine quadrivalent, unspecified",True,5,0
VAC0007,GARDASIL,False,CVX-137,HPV Vaccine,False,,
VAC0008,GRIPGUARD,False,CVX-168,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0008,GRIPGUARD,False,CVX-331,"Trivalent inactivated influenza vaccine, unspecified",True,50,0
VAC0008,GRIPGUARD,False,CVX-15,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0008,GRIPGUARD,False,CVX-88,"Influenza vaccine, unspecified",False,,
