EU-NUMBER;NUVA;Label
EU-NUMBER-EU-1-20-1528-014;VAC1023;COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
EU-NUMBER-EU-1-22-1641-001;VAC0939;PREHEVBRIO
EU-NUMBER-EU-1-04-0299-003;VAC0480;FENDRIX
EU-NUMBER-EU-1-12-752-001;VAC0482;VEPACEL
EU-NUMBER-EU-1-06-348-002;VAC0031;ROTATEQ
EU-NUMBER-EU-1-20-1507-007;VAC1017;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MULTIDOSE MODERNA
EU-NUMBER-EU-1-18-1272-001;VAC0567;SHINGRIX
EU-NUMBER-EU-1-06-341-013;VAC0161;ZOSTAVAX
EU-NUMBER-EU-1-06-357-021;VAC0007;GARDASIL
EU-NUMBER-EU-1-20-1528-016;VAC1033;COMIRNATY ORIGINAL/OMICRON BA.4-5 (5/5 µg) BIONTECH-PFIZER
EU-NUMBER-EU-1-20-1444-001;VAC0633;ZABDENO
EU-NUMBER-EU-1-24-1816-002;VAC0173;FLUENZ
EU-NUMBER-EU-1-13-829-009;VAC0510;HEXYON
EU-NUMBER-EU-1-10-624-001;VAC0125;AREPANRIX
EU-NUMBER-EU-1-20-1503-001;VAC0733;HEPLISAV-B
EU-NUMBER-EU-1-09-590-016;VAC0123;PREVENAR 13
EU-NUMBER-EU-1-23-1752-006;VAC1047;ABRYSVO
EU-NUMBER-EU-1-15-1079-008;VAC0535;VAXELIS
EU-NUMBER-EU-1-20-1528-010;VAC1022;COMIRNATY 3 µg 6 MOIS-4 ANS BIONTECH-PFIZER
EU-NUMBER-EU-1-96-014-003;VAC0494;TRITANRIX HepB
EU-NUMBER-EU-1-20-1528-005;VAC0833;COMIRNATY 10 µg BIONTECH-PFIZER
EU-NUMBER-EU-1-13-887-004;VAC0521;FLUENZ TETRA
EU-NUMBER-EU-1-20-1528-034;VAC1259;COMIRNATY JN.1 10 µg
EU-NUMBER-EU-1-08-505-006;VAC0140;INTANZA
EU-NUMBER-EU-1-24-1871-006;VAC1061;PENBRAYA
EU-NUMBER-EU-1-01-183-015;VAC0010;HBVAXPRO 40 µg
EU-NUMBER-EU-1-09-578-001;VAC0777;ADJUPANRIX
EU-NUMBER-EU-1-24-1806-001;VAC1331;CELLDEMIC
EU-NUMBER-EU-1-03-263-003;VAC0005;DUKORAL
EU-NUMBER-EU-1-20-1528-039;VAC1334;COMIRNATY KP.2 30 µg
EU-NUMBER-EU-1-13-855-001;VAC0520;IMVANEX
EU-NUMBER-EU-1-09-508-013;VAC0083;SYNFLORIX
EU-NUMBER-EU-1-05-330-012;VAC0514;ROTARIX
EU-NUMBER-EU-1-21-1612-006;VAC0900;PREVENAR 20
EU-NUMBER-EU-1-18-1326-004;VAC0595;FLUCELVAX TETRA
EU-NUMBER-EU-1-19-1392-001;VAC0586;ERVEBO
EU-NUMBER-EU-1-21-1618-008;VAC1055;NUVAXOVID XBB.1.5
EU-NUMBER-EU-1-08-506-001;VAC0107;CELVAPAN
EU-NUMBER-EU-1-20-1484-006;VAC0871;SUPEMTEK
EU-NUMBER-EU-1-00-153-010;VAC0525;INFANRIX PENTA
EU-NUMBER-EU-1-24-1828;VAC0620;IXCHIQ
EU-NUMBER-EU-1-09-571-001;VAC0476;PANDEMIC INFLUENZA VACCINE H5N1 BAXTER
EU-NUMBER-EU-1-15-1007-004;VAC0523;GARDASIL 9
EU-NUMBER-EU-1-21-1624-001;VAC0714;VACCIN CONTRE LA COVID-19 (INACTIVE, AVEC ADJUVANT) VALNEVA
EU-NUMBER-EU-1-10-629-001;VAC0104;HUMENZA
EU-NUMBER-EU-1-17-1187-006;VAC0582;TRUMENBA
EU-NUMBER-EU-1-10-614-006;VAC0141;MENVEO
EU-NUMBER-EU-1-07-385-002;VAC0109;FOCETRIA (unidose)
EU-NUMBER-EU-1-20-1258-023;VAC1052;PFIZER COMIRNATY-10 XBB.1.5
EU-NUMBER-EU-1-02-224-005;VAC0168;AMBIRIX
EU-NUMBER-EU-1-22-1699-006;VAC0644;QDENGA
EU-NUMBER-EU-1-24-1873-001;VAC1336;KOSTAIVE
EU-NUMBER-EU-1-20-1507-22;VAC1270;SPIKEVAX JN.1 0,1 mg/mL dose 50 µg
EU-NUMBER-EU-1-01-183-031;VAC0011;HBVAXPRO 5 µg
EU-NUMBER-EU-1-20-1258-027;VAC1051;PFIZER COMIRNATY-30 XBB.1.5
EU-NUMBER-EU-1-08-453-002;VAC0472;PREPANDRIX
EU-NUMBER-EU-1-20-1528-013;VAC0658;COMIRNATY 30 µg BIONTECH-PFIZER
EU-NUMBER-EU-1-00-167-005;VAC0025;PREVENAR
EU-NUMBER-EU-1-20-1528-041;VAC1333;COMIRNATY KP.2 10 µg
EU-NUMBER-EU-1-20-1433-004;VAC0836;FLUAD TETRA
EU-NUMBER-EU-1-20-1528-042;VAC1332;COMIRNATY KP.2 3 µg
EU-NUMBER-EU-1-20-1507-018;VAC1060;SPIKEVAX XBB.1.5 50 µg MODERNA
EU-NUMBER-EU-1-08-501-002;VAC0073;IXIARO
EU-NUMBER-EU-1-20-1528-017;VAC1054;COMIRNATY ORIGINAL/OMICRON BA.4-5 (1,5/1,5 µg)
EU-NUMBER-EU-1-21-1618-004;VAC0667;NUVAXOVID
EU-NUMBER-EU-1-09-577-006;VAC0475;FOCLIVIA
EU-NUMBER-EU-1-23-1761-002;VAC1338;ZOONOTIC
EU-NUMBER-EU-1-20-1423-001;VAC0778;VAXCHORA
EU-NUMBER-EU-1-21-1580-001;VAC0685;VIDPREVTYN BETA
EU-NUMBER-EU-1-18-1338-005;VAC0539;DENGVAXIA
EU-NUMBER-EU-1-00-152-021;VAC0014;INFANRIX HEXA
EU-NUMBER-EU-1-24-1879-004;VAC0926;FLUCELVAX TRIVALENT
EU-NUMBER-EU-1-00-147-012;VAC0098;HEXAVAC
EU-NUMBER-EU-1-20-1445-001;VAC0634;MVABEA
EU-NUMBER-EU-1-20-1507-008;VAC1340;SPIKEVAX BA.1 0,1 mg/mL dose 50 µg
EU-NUMBER-EU-1-20-1507-014;VAC1058;SPIKEVAX XBB.1.5 0,1 mg/mL dose 50 µg MODERNA
EU-NUMBER-EU-1-12-767-004;VAC0486;NIMENRIX
EU-NUMBER-EU-1-20-1507-003;VAC1019;SPIKEVAX 0,1 mg/mL MODERNA
EU-NUMBER-EU-1-22-1709-007;VAC1339;BIMERVAX XBB.1.16
EU-NUMBER-EU-1-07-394-003;VAC0169;OPTAFLU
EU-NUMBER-EU-1-22-1709-004;VAC0913;BIMERVAX
EU-NUMBER-EU-1-20-1507-006;VAC1024;SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 (50 µg/50 µg)/mL MODERNA
EU-NUMBER-EU-16-0141-08;VAC0560;VAXIGRIPTETRA
EU-NUMBER-EU-1-20-1528-007;VAC1021;COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
EU-NUMBER-EU-1-24-1849-002;VAC1262;MRESVIA
EU-NUMBER-EU-1-10-664-001;VAC0477;PUMARIX
EU-NUMBER-EU-1-07-419-012;VAC0044;CERVARIX
EU-NUMBER-EU-1-20-1528-036;VAC1260;COMIRNATY JN.1 3 µg
EU-NUMBER-EU-1-24-1807-001;VAC1335;INCELLIPAN
EU-NUMBER-EU-1-12-812-004;VAC0495;BEXSERO
EU-NUMBER-EU-1-06-358-021;VAC0511;SILGARD
EU-NUMBER-EU-1-20-1507-010;VAC1341;COVID-19 mRNA vaccine encoding the SARS-CoV-2 spike protein, Omicron XBB.1.5 variant, unspecified dose
EU-NUMBER-EU-1-20-1591-006;VAC0780;VAXNEUVANCE
EU-NUMBER-EU-1-13-828-007;VAC0507;HEXACIMA
EU-NUMBER-EU-1-10-658-002;VAC0170;AFLUNOV
EU-NUMBER-EU-1-05-323-013;VAC0174;PROQUAD
EU-NUMBER-EU-1-08-452-001;VAC0108;PANDEMRIX
EU-NUMBER-EU-1-20-1507-026;VAC1268;SPIKEVAX JN.1 50 µg
EU-NUMBER-EU-1-20-1528-031;VAC1258;COMIRNATY JN.1 30 µg
EU-NUMBER-EU-1-20-1258-026;VAC1053;PFIZER COMIRNATY-3 XBB.1.5
EU-NUMBER-EU-1-06-337-014;VAC0017;M-M-RVAXPRO
EU-NUMBER-EU-1-21-1529-002;VAC0650;VAXZEVRIA ASTRAZENECA
EU-NUMBER-EU-1-01-183-032;VAC0009;HBVAXPRO 10 µg
EU-NUMBER-EU-1-97-029-010;VAC0058;TWINRIX 10 µg
EU-NUMBER-EU-1-20-1525-002;VAC0666;JCOVDEN
EU-NUMBER-EU-1-96-020-009;VAC0057;TWINRIX 20 µg
EU-NUMBER-EU-1-24-1878-004;VAC0230;FLUAD
EU-NUMBER-EU-1-20-1483-004;VAC0594;MENQUADFI
