INFARMED;NUVA;Label
INFARMED-2392587;VAC0264;INFANRIX
INFARMED-5070040;VAC0019;MENINGITEC
INFARMED-5892344;VAC1339;BIMERVAX XBB.1.16
INFARMED-3236684;VAC0014;INFANRIX HEXA
INFARMED-4009189;VAC0058;TWINRIX 10 µg
INFARMED-5890983;VAC0174;PROQUAD
INFARMED-2591881;VAC0057;TWINRIX 20 µg
INFARMED-3981388;VAC0099;MENINVACT
INFARMED-5875109;VAC0486;NIMENRIX
INFARMED-2828283;VAC0024;PNEUMO 23
INFARMED-3910189;VAC0877;INFANRIX HEPB
INFARMED-8618322;VAC0033;RUDIVAX
INFARMED-5268271;VAC0073;IXIARO
INFARMED-5862818;VAC1052;PFIZER COMIRNATY-10 XBB.1.5
INFARMED-5834270;VAC0900;PREVENAR 20
INFARMED-5858402;VAC1058;SPIKEVAX XBB.1.5 0,1 mg/mL dose 50 µg MODERNA
INFARMED-5395389;VAC0631;MENINVACTKIT
INFARMED-5772926;VAC0539;DENGVAXIA
INFARMED-5034889;VAC0005;DUKORAL
INFARMED-8794214;VAC0076;DTVax
INFARMED-5626940;VAC0165;VAQTA 25 U/0,5 mL
INFARMED-5835244;VAC0051;INFANRIXTETRA
INFARMED-5773312;VAC0595;FLUCELVAX TETRA
INFARMED-4472189;VAC0590;VACCIN BCG AJVACCINES
INFARMED-4261889;VAC1049;TDVAX
INFARMED-2568186;VAC0050;HAVRIX 720 U/0,5 mL
INFARMED-5291323;VAC0125;AREPANRIX
INFARMED-5751581;VAC0514;ROTARIX
INFARMED-5361787;VAC1029;QUINTANRIX
INFARMED-5571211;VAC0841;INFLUVAC 0,25 mL
INFARMED-8567404;VAC0016;INFLUVAC
INFARMED-3209285;VAC0247;HIBTITER
INFARMED-5900766;VAC0620;IXCHIQ
INFARMED-5362082;VAC0020;MENJUGATEKIT 10 µg
INFARMED-2567782;VAC0049;HAVRIX 1440 U/1mL
INFARMED-8830018;VAC0963;ANATOXAL DI TE PER
INFARMED-5053962;VAC0121;PRIORIX-TETRA
INFARMED-5845078;VAC1023;COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
INFARMED-2917284;VAC0363;ROTASHIELD
INFARMED-5899570;VAC0047;FLUARIX
INFARMED-5895172;VAC0141;MENVEO
INFARMED-8674713;VAC0622;EOLARIX
INFARMED-5878129;VAC0173;FLUENZ
INFARMED-5908041;VAC1262;MRESVIA
INFARMED-8559559;VAC0356;RECOMBIVAX HB PÉDIATRIQUE
INFARMED-5848155;VAC0685;VIDPREVTYN BETA
INFARMED-8559534;VAC1028;RECOMBIVAX HB DIALYSÉ
INFARMED-5892716;VAC1347;EFLUELDA TIV-HD
INFARMED-5177738;VAC0011;HBVAXPRO 5 µg
INFARMED-8613109;VAC0451;VIVOTIF
INFARMED-5839568;VAC0520;IMVANEX
INFARMED-8793422;VAC0086;TETAVAX
INFARMED-5862842;VAC1053;PFIZER COMIRNATY-3 XBB.1.5
INFARMED-8650309;VAC0271;ISTIVAC
INFARMED-5459284;VAC0023;PENTAVAC
INFARMED-8290502;VAC0625;MORATEN
INFARMED-5399282;VAC0061;VARIVAX
INFARMED-3750585;VAC0494;TRITANRIX HepB
INFARMED-8504001;VAC0962;ANATOXAL DI TE N ADULT
INFARMED-5844923;VAC1021;COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
INFARMED-5582432;VAC0053;PRIORIX
INFARMED-3621380;VAC0010;HBVAXPRO 40 µg
INFARMED-5682240;VAC0028;RABIPUR
INFARMED-8516203;VAC0364;RUBEATEN BERNA PRODUCTS
INFARMED-5122924;VAC0025;PREVENAR
INFARMED-8591438;VAC0359;RIMEVAX
INFARMED-5118138;VAC0472;PREPANDRIX
INFARMED-5558523;VAC0507;HEXACIMA
INFARMED-5882311;VAC0913;BIMERVAX
INFARMED-8671925;VAC0046;ENGERIX B 20 µg
INFARMED-4735692;VAC0235;FLUVIRIN
INFARMED-5651161;VAC0336;PNEUMOVAX
INFARMED-3000189;VAC0001;ACT-HIB
INFARMED-5717251;VAC0582;TRUMENBA
