NDC,NUVA,Label
NDC-49281-0545,VAC0001,ACT-HIB
NDC-49281-545,VAC0001,ACT-HIB
NDC-00006-4045,VAC0007,GARDASIL
NDC-00006-4109,VAC0007,GARDASIL
NDC-0006-4045,VAC0007,GARDASIL
NDC-0006-4109,VAC0007,GARDASIL
NDC-00006-4047,VAC0031,ROTATEQ
NDC-0006-4047,VAC0031,ROTATEQ
NDC-49281-0913,VAC0035,STAMARIL
NDC-00069-0411,VAC0038,"TICOVAC 0,5 mL"
NDC-49281-0790,VAC0041,TYPHIM VI
NDC-49281-790,VAC0041,TYPHIM VI
NDC-50090-1493,VAC0041,TYPHIM VI
NDC-58160-0830,VAC0044,CERVARIX
NDC-58160-0820,VAC0045,ENGERIX B 10 µg
NDC-54868-0734,VAC0046,ENGERIX B 20 µg
NDC-58160-0821,VAC0046,ENGERIX B 20 µg
NDC-58160-0879,VAC0047,FLUARIX
NDC-58160-0880,VAC0047,FLUARIX
NDC-58160-0881,VAC0047,FLUARIX
NDC-58160-0883,VAC0047,FLUARIX
NDC-58160-912,VAC0047,FLUARIX
NDC-50090-1502,VAC0049,HAVRIX 1440 U/1mL
NDC-55045-3841,VAC0049,HAVRIX 1440 U/1mL
NDC-58160-0826,VAC0049,HAVRIX 1440 U/1mL
NDC-58160-0825,VAC0050,"HAVRIX 720 U/0,5 mL"
NDC-58160-824,VAC0053,PRIORIX
NDC-49281-0800,VAC0056,VACCIN TETANIQUE PASTEUR
NDC-50090-1645,VAC0057,TWINRIX 20 µg
NDC-58160-0815,VAC0057,TWINRIX 20 µg
NDC-58160-815,VAC0057,TWINRIX 20 µg
NDC-00006-4826,VAC0061,VARIVAX
NDC-00006-4827,VAC0061,VARIVAX
NDC-0006-4827,VAC0061,VARIVAX
NDC-42515-0001,VAC0073,IXIARO
NDC-42515-0002,VAC0073,IXIARO
NDC-42515-002,VAC0073,IXIARO
NDC-62195-0051,VAC0073,IXIARO
NDC-62195-051,VAC0073,IXIARO
NDC-49281-0589,VAC0103,MENACTRA
NDC-49281-589,VAC0103,MENACTRA
NDC-00005-1971,VAC0123,PREVENAR 13
NDC-46028-0208,VAC0141,MENVEO
NDC-58160-0955,VAC0141,MENVEO
NDC-58160-827,VAC0141,MENVEO
NDC-58160-955,VAC0141,MENVEO
NDC-00006-4963,VAC0161,ZOSTAVAX
NDC-00006-4095,VAC0165,"VAQTA 25 U/0,5 mL"
NDC-00006-4831,VAC0165,"VAQTA 25 U/0,5 mL"
NDC-00006-4096,VAC0166,VAQTA 50 U
NDC-00006-4841,VAC0166,VAQTA 50 U
NDC-00006-4171,VAC0174,PROQUAD
NDC-00006-4999,VAC0174,PROQUAD
NDC-0006-4171,VAC0174,PROQUAD
NDC-49281-0400,VAC0182,ADACEL
NDC-49281-400,VAC0182,ADACEL
NDC-64678-0211,VAC0200,BIOTHRAX
NDC-64678-211,VAC0200,BIOTHRAX
NDC-00006-4898,VAC0209,COMVAX
NDC-49281-0286,VAC0211,DAPTACEL
NDC-49281-286,VAC0211,DAPTACEL
NDC-66521-0000,VAC0230,FLUAD
NDC-70461-0001,VAC0230,FLUAD
NDC-70461-0002,VAC0230,FLUAD
NDC-70461-0018,VAC0230,FLUAD
NDC-70461-0019,VAC0230,FLUAD
NDC-70461-0020,VAC0230,FLUAD
NDC-70461-025,VAC0230,FLUAD
NDC-19515-0845,VAC0232,FLULAVAL
NDC-19515-0850,VAC0232,FLULAVAL
NDC-19515-0889,VAC0232,FLULAVAL
NDC-19515-0890,VAC0232,FLULAVAL
NDC-19515-0893,VAC0232,FLULAVAL
NDC-19515-904,VAC0232,FLULAVAL
NDC-66019-0107,VAC0233,FLUMIST
NDC-66019-0108,VAC0233,FLUMIST
NDC-66019-0109,VAC0233,FLUMIST
NDC-66019-0110,VAC0233,FLUMIST
NDC-66019-112,VAC0233,FLUMIST
NDC-66521-0112,VAC0235,FLUVIRIN
NDC-66521-0113,VAC0235,FLUVIRIN
NDC-66521-0114,VAC0235,FLUVIRIN
NDC-66521-0115,VAC0235,FLUVIRIN
NDC-66521-0116,VAC0235,FLUVIRIN
NDC-66521-0117,VAC0235,FLUVIRIN
NDC-66521-0118,VAC0235,FLUVIRIN
NDC-70461-0119,VAC0235,FLUVIRIN
NDC-70461-0120,VAC0235,FLUVIRIN
NDC-49281-0010,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0011,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0012,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0013,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0014,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0111,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0112,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0113,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0386,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0387,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0388,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0389,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0390,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0391,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0392,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0393,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0394,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0395,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0396,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0397,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0399,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0401,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0403,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0405,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-0707,VAC0236,FLUZONE HIGH-DOSE
NDC-49281-341,VAC0236,FLUZONE HIGH-DOSE
NDC-54868-6177,VAC0236,FLUZONE HIGH-DOSE
NDC-54868-6180,VAC0236,FLUZONE HIGH-DOSE
