NTIN,NUVA,Label
NTIN-3400933472016,VAC0001,ACT-HIB
NTIN-5909990346813,VAC0001,ACT-HIB
NTIN-7750939002714,VAC0001,ACT-HIB
NTIN-7891058999568,VAC0001,ACT-HIB
NTIN-8699625960022,VAC0001,ACT-HIB
NTIN-8712172864145,VAC0001,ACT-HIB
NTIN-9088881276937,VAC0001,ACT-HIB
NTIN-9329670200604,VAC0001,ACT-HIB
NTIN-9329670200611,VAC0001,ACT-HIB
NTIN-3400934166525,VAC0003,AVAXIM 160 U
NTIN-4150143709998,VAC0003,AVAXIM 160 U
NTIN-4150143710079,VAC0003,AVAXIM 160 U
NTIN-5000283658467,VAC0003,AVAXIM 160 U
NTIN-5000283660385,VAC0003,AVAXIM 160 U
NTIN-5909990756810,VAC0003,AVAXIM 160 U
NTIN-8470007313267,VAC0003,AVAXIM 160 U
NTIN-8712172864565,VAC0003,AVAXIM 160 U
NTIN-8806659001816,VAC0003,AVAXIM 160 U
NTIN-9329670000020,VAC0003,AVAXIM 160 U
NTIN-3400932575503,VAC0013,IMOVAX POLIO
NTIN-5909990050239,VAC0013,IMOVAX POLIO
NTIN-5909990050246,VAC0013,IMOVAX POLIO
NTIN-7898168490718,VAC0013,IMOVAX POLIO
NTIN-3400936874343,VAC0023,PENTAVAC
NTIN-4150084192187,VAC0023,PENTAVAC
NTIN-4150084192248,VAC0023,PENTAVAC
NTIN-7680006130012,VAC0023,PENTAVAC
NTIN-7680006130029,VAC0023,PENTAVAC
NTIN-7591044000222,VAC0024,PNEUMO 23
NTIN-04150020429599,VAC0029,REPEVAX
NTIN-4150020429650,VAC0029,REPEVAX
NTIN-4150020429711,VAC0029,REPEVAX
NTIN-5000283658627,VAC0029,REPEVAX
NTIN-8712172865845,VAC0029,REPEVAX
NTIN-8712172867207,VAC0029,REPEVAX
NTIN-9088882467785,VAC0029,REPEVAX
NTIN-9329670300939,VAC0029,REPEVAX
NTIN-4150086457598,VAC0030,REVAXIS
NTIN-4150086457659,VAC0030,REVAXIS
NTIN-5000283658603,VAC0030,REVAXIS
NTIN-7680006460010,VAC0030,REVAXIS
NTIN-7680006460027,VAC0030,REVAXIS
NTIN-8712172864152,VAC0030,REVAXIS
NTIN-8712172865821,VAC0030,REVAXIS
NTIN-8712172867184,VAC0030,REVAXIS
NTIN-8712172867214,VAC0030,REVAXIS
NTIN-5909990661015,VAC0035,STAMARIL
NTIN-8470006542972,VAC0035,STAMARIL
NTIN-8806659001717,VAC0035,STAMARIL
NTIN-3400934822353,VAC0037,TETRAVAC-ACELLULAIRE
NTIN-3400936874923,VAC0037,TETRAVAC-ACELLULAIRE
NTIN-5000283661771,VAC0037,TETRAVAC-ACELLULAIRE
NTIN-7680006120013,VAC0037,TETRAVAC-ACELLULAIRE
NTIN-3400936077836,VAC0040,TYAVAX
NTIN-3400936993020,VAC0041,TYPHIM VI
NTIN-4150046861649,VAC0041,TYPHIM VI
NTIN-5000283658559,VAC0041,TYPHIM VI
NTIN-5000283660392,VAC0041,TYPHIM VI
NTIN-5909990952311,VAC0041,TYPHIM VI
NTIN-6285080000070,VAC0041,TYPHIM VI
NTIN-7501895110049,VAC0041,TYPHIM VI
NTIN-7891058999605,VAC0041,TYPHIM VI
NTIN-8470006524688,VAC0041,TYPHIM VI
NTIN-8712172864183,VAC0041,TYPHIM VI
NTIN-9088882469994,VAC0041,TYPHIM VI
NTIN-9329670000402,VAC0041,TYPHIM VI
