NUVA,NUVA label,IsAbstract,SCT_NUVA,SCT_NUVA label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,SCT_NUVA-61002000105,ACT-HIB,True,1,1
VAC0001,ACT-HIB,False,SCT_NUVA-2471002000105,"Haemophilus influenzae B (or Hib) vaccine, unspecified",False,,
VAC0001,ACT-HIB,False,SCT_NUVA-4661002000106,"Hib PRP-T conjugated vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,SCT_NUVA-81002000100,AGRIPPAL,True,1,1
VAC0002,AGRIPPAL,False,SCT_NUVA-11131002000105,"Trivalent inactivated influenza vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,SCT_NUVA-2051002000105,"Influenza vaccine, unspecified",False,,
VAC0002,AGRIPPAL,False,SCT_NUVA-9811002000105,"Inactivated influenza vaccine, split or subunit, unspecified",False,,
VAC0003,AVAXIM 160 U,False,SCT_NUVA-101002000100,AVAXIM 160 U,True,1,1
VAC0003,AVAXIM 160 U,False,SCT_NUVA-10941002000106,"Inactivated hepatitis A vaccine, adult dose, unspecified",False,,
VAC0003,AVAXIM 160 U,False,SCT_NUVA-15081002000107,"Hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,SCT_NUVA-1911002000101,"Inactivated hepatitis A vaccine, unspecified",False,,
VAC0004,D.T. POLIO MERIEUX,False,SCT_NUVA-141002000103,D.T. POLIO MERIEUX,True,1,1
VAC0004,D.T. POLIO MERIEUX,False,SCT_NUVA-10231002000105,"Diphtheria-Tetanus-Polio vaccine, unspecified",False,,
VAC0004,D.T. POLIO MERIEUX,False,SCT_NUVA-1701002000102,"DTIPV vaccine, unspecified",False,,
VAC0005,DUKORAL,False,SCT_NUVA-161002000104,DUKORAL,True,1,1
VAC0005,DUKORAL,False,SCT_NUVA-11421002000100,"Inactivated whole virion oral cholera vaccine, unspecified",False,,
VAC0005,DUKORAL,False,SCT_NUVA-13631002000100,"Whole inactivated Cholera vaccine, unspecified",False,,
