NUVA,NUVA label,IsAbstract,SNOMED-CT,SNOMED-CT label,Best,Blur,Equiv
VAC0001,ACT-HIB,False,SNOMED-CT-2041000221105,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0001,ACT-HIB,False,SNOMED-CT-836380007,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0001,ACT-HIB,False,SNOMED-CT-871764007,"Haemophilus influenzae B (or Hib) vaccine, unspecified",True,19,0
VAC0002,AGRIPPAL,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0002,AGRIPPAL,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0003,AVAXIM 160 U,False,SNOMED-CT-1010308001,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0003,AVAXIM 160 U,False,SNOMED-CT-1010318006,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0003,AVAXIM 160 U,False,SNOMED-CT-836375003,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0003,AVAXIM 160 U,False,SNOMED-CT-91000221102,"Inactivated hepatitis A vaccine, unspecified",True,12,0
VAC0003,AVAXIM 160 U,False,SNOMED-CT-865997008,"Hepatitis A vaccine, unspecified",False,,
VAC0003,AVAXIM 160 U,False,SNOMED-CT-871751006,"Hepatitis A vaccine, unspecified",False,,
VAC0004,D.T. POLIO MERIEUX,False,SNOMED-CT-871837004,"Diphtheria-Tetanus-Polio vaccine, unspecified",True,10,0
VAC0005,DUKORAL,False,SNOMED-CT-1362134008,"Cholera vaccine containing recombinant cholera toxin B subunit and inactivated whole V. cholerae O1 bacteria, unspecified",True,2,0
VAC0005,DUKORAL,False,SNOMED-CT-1001000221103,"Inactivated whole virion oral cholera vaccine, unspecified",False,,
VAC0005,DUKORAL,False,SNOMED-CT-2181000221101,"Inactivated whole virion oral cholera vaccine, unspecified",False,,
VAC0005,DUKORAL,False,SNOMED-CT-836383009,"Cholera vaccine, unspecified",False,,
VAC0005,DUKORAL,False,SNOMED-CT-991000221105,"Cholera vaccine, unspecified",False,,
VAC0006,FLUVIRINE,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0006,FLUVIRINE,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0007,GARDASIL,False,SNOMED-CT-2001000221108,"HPV vaccine quadrivalent, unspecified",True,5,0
VAC0007,GARDASIL,False,SNOMED-CT-836379009,HPV Vaccine,False,,
VAC0007,GARDASIL,False,SNOMED-CT-911000221103,HPV Vaccine,False,,
VAC0008,GRIPGUARD,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0008,GRIPGUARD,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0009,HBVAXPRO 10 µg,False,SNOMED-CT-1296864005,"Hepatitis B vaccine, monovalent, pediatric dose, unspecified",True,16,0
VAC0009,HBVAXPRO 10 µg,False,SNOMED-CT-1296676008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SNOMED-CT-1304283008,"Hepatitis B vaccine, recombinant, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SNOMED-CT-836374004,"Hepatitis B vaccine, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SNOMED-CT-871822003,"Hepatitis B vaccine, unspecified",False,,
VAC0009,HBVAXPRO 10 µg,False,SNOMED-CT-871925000,"Hepatitis B vaccine, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,SNOMED-CT-1296676008,"Hepatitis B vaccine, recombinant, unspecified",True,13,0
VAC0010,HBVAXPRO 40 µg,False,SNOMED-CT-1304283008,"Hepatitis B vaccine, recombinant, unspecified",True,13,0
VAC0010,HBVAXPRO 40 µg,False,SNOMED-CT-836374004,"Hepatitis B vaccine, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,SNOMED-CT-871822003,"Hepatitis B vaccine, unspecified",False,,
VAC0010,HBVAXPRO 40 µg,False,SNOMED-CT-871925000,"Hepatitis B vaccine, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,SNOMED-CT-1296676008,"Hepatitis B vaccine, recombinant, unspecified",True,13,0
VAC0011,HBVAXPRO 5 µg,False,SNOMED-CT-1304283008,"Hepatitis B vaccine, recombinant, unspecified",True,13,0
VAC0011,HBVAXPRO 5 µg,False,SNOMED-CT-836374004,"Hepatitis B vaccine, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,SNOMED-CT-871822003,"Hepatitis B vaccine, unspecified",False,,
VAC0011,HBVAXPRO 5 µg,False,SNOMED-CT-871925000,"Hepatitis B vaccine, unspecified",False,,
VAC0012,IMMUGRIP,False,SNOMED-CT-1181000221105,"Influenza vaccine, unspecified",True,107,0
VAC0012,IMMUGRIP,False,SNOMED-CT-836377006,"Influenza vaccine, unspecified",True,107,0
VAC0013,IMOVAX POLIO,False,SNOMED-CT-871740006,"Inactivated Polio vaccine, unspecified",True,18,0
VAC0013,IMOVAX POLIO,False,SNOMED-CT-1031000221108,"Polio vaccine, unspecified",False,,
VAC0013,IMOVAX POLIO,False,SNOMED-CT-871739009,"Polio vaccine, unspecified",False,,
VAC0014,INFANRIX HEXA,False,SNOMED-CT-1162634005,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
VAC0014,INFANRIX HEXA,False,SNOMED-CT-1162637003,"Hexavalent vaccine DTPCaHibHepB - Diphtheria-Tetanus-Polio-Acellular Pertussis-Hib-HepB, unspecified",True,9,0
