SWISSLEGACY,NUVA,Label
SWISSLEGACY-78,VAC0001,ACT-HIB
SWISSLEGACY-53,VAC0011,HBVAXPRO 5 µg
SWISSLEGACY-112,VAC0033,RUDIVAX
SWISSLEGACY-170,VAC0046,ENGERIX B 20 µg
SWISSLEGACY-165,VAC0050,"HAVRIX 720 U/0,5 mL"
SWISSLEGACY-35,VAC0051,INFANRIXTETRA
SWISSLEGACY-55,VAC0052,VACCIN MENINGOCOCCIQUE A+C
SWISSLEGACY-95,VAC0052,VACCIN MENINGOCOCCIQUE A+C
SWISSLEGACY-74,VAC0058,TWINRIX 10 µg
SWISSLEGACY-106,VAC0063,TETRACOQ
SWISSLEGACY-99,VAC0064,PENTACOQ
SWISSLEGACY-115,VAC0067,HAVRIX 360 U
SWISSLEGACY-87,VAC0080,BCG PASTEUR
SWISSLEGACY-141,VAC0108,PANDEMRIX
SWISSLEGACY-137,VAC0109,FOCETRIA (unidose)
SWISSLEGACY-118,VAC0126,HEVAC B
SWISSLEGACY-162,VAC0127,HB VAX DNA 5 µg
SWISSLEGACY-163,VAC0128,HB VAX DNA 10 µg
SWISSLEGACY-164,VAC0129,HB VAX DNA 40 µg
SWISSLEGACY-144,VAC0133,"Smallpox vaccine, unspecified"
SWISSLEGACY-169,VAC0133,"Smallpox vaccine, unspecified"
SWISSLEGACY-48,VAC0134,"BCG vaccine, unspecified"
SWISSLEGACY-110,VAC0166,VAQTA 50 U
SWISSLEGACY-76,VAC0178,ACEL-IMUNE
SWISSLEGACY-86,VAC0191,ARILVAX
SWISSLEGACY-47,VAC0192,ATTENUVAX
SWISSLEGACY-88,VAC0201,BIVIRATEN BERNA
SWISSLEGACY-134,VAC0216,ANATOXAL DI TE
SWISSLEGACY-154,VAC0216,ANATOXAL DI TE
SWISSLEGACY-91,VAC0228,ERVEVAX RA 27/3
SWISSLEGACY-92,VAC0247,HIBTITER
SWISSLEGACY-166,VAC0264,INFANRIX
SWISSLEGACY-56,VAC0298,MERUVAX
SWISSLEGACY-119,VAC0301,MMR
SWISSLEGACY-97,VAC0311,MUMATEN BERNA PRODUCTSNA
SWISSLEGACY-100,VAC0324,"Pneumococcal conjugate vaccine, 7 valent, unspecified"
SWISSLEGACY-98,VAC0326,PEDVAXHIB
SWISSLEGACY-75,VAC0335,PLUSERIX
SWISSLEGACY-133,VAC0343,ProHIBiT
SWISSLEGACY-142,VAC0343,ProHIBiT
SWISSLEGACY-121,VAC0360,RIMPARIX
SWISSLEGACY-111,VAC0364,RUBEATEN BERNA PRODUCTS
SWISSLEGACY-102,VAC0371,POLIO SABIN GSK
SWISSLEGACY-101,VAC0373,SALK
SWISSLEGACY-83,VAC0383,ANATOXAL TE
SWISSLEGACY-107,VAC0391,TETRAMUNE
SWISSLEGACY-23,VAC0416,TRIVIRATEN
SWISSLEGACY-143,VAC0424,"Live attenuated oral typhoid vaccine, unspecified"
SWISSLEGACY-25,VAC0451,VIVOTIF
SWISSLEGACY-172,VAC0471,HEPAVAX-GENE B 20 µg
SWISSLEGACY-123,VAC0489,TRIMOVAX
SWISSLEGACY-39,VAC0525,INFANRIX PENTA
SWISSLEGACY-128,VAC0575,FSME-IMMUN
SWISSLEGACY-73,VAC0578,INFANRIX-HIB
SWISSLEGACY-127,VAC0622,EOLARIX
SWISSLEGACY-96,VAC0624,M-M-Vax
SWISSLEGACY-14,VAC0626,MoRu Viraten
SWISSLEGACY-120,VAC0627,MORUMAN
SWISSLEGACY-93,VAC0877,INFANRIX HEPB
SWISSLEGACY-103,VAC0887,POLIORAL
SWISSLEGACY-84,VAC0961,ANATOXAL TE N
SWISSLEGACY-80,VAC0962,ANATOXAL DI TE N ADULT
SWISSLEGACY-81,VAC0962,ANATOXAL DI TE N ADULT
SWISSLEGACY-155,VAC0963,ANATOXAL DI TE PER
SWISSLEGACY-79,VAC0963,ANATOXAL DI TE PER
SWISSLEGACY-151,VAC0964,ANATOXAL DI
SWISSLEGACY-82,VAC0964,ANATOXAL DI
SWISSLEGACY-94,VAC0969,LYSSAVAC N BERNA
SWISSLEGACY-168,VAC0987,TANRIX
SWISSLEGACY-16,VAC1094,OROCHOL
SWISSLEGACY-126,VAC1449,DITANRIX-PEDIATRIC
SWISSLEGACY-136,VAC1489,CELTURA
SWISSLEGACY-117,VAC1490,ALMEVAX
SWISSLEGACY-122,VAC1491,RUBEVAC
SWISSLEGACY-17,VAC1492,POLIOMYELITIS IMPFSTOFF BERNA
SWISSLEGACY-77,VAC1493,ACEL P
SWISSLEGACY-138,VAC1495,POLIO KOPROWSKI K1-K2-K3
SWISSLEGACY-139,VAC1495,POLIO KOPROWSKI K1-K2-K3
SWISSLEGACY-147,VAC1495,POLIO KOPROWSKI K1-K2-K3
SWISSLEGACY-148,VAC1496,POLIO LILLY
