THL,NUVA,Label
THL-73,VAC0001,ACT-HIB
THL-123,VAC0002,AGRIPPAL
THL-186,VAC0003,AVAXIM 160 U
THL-78,VAC0004,D.T. POLIO MERIEUX
THL-3,VAC0005,DUKORAL
THL-18,VAC0007,GARDASIL
THL-118,VAC0010,HBVAXPRO 40 µg
THL-19,VAC0013,IMOVAX POLIO
THL-72,VAC0014,INFANRIX HEXA
THL-8,VAC0015,INFANRIXQUINTA
THL-22,VAC0016,INFLUVAC
THL-31,VAC0017,M-M-RVAXPRO
THL-28,VAC0018,MENCEVAX ACWY
THL-89,VAC0021,MUTAGRIP
THL-7,VAC0023,PENTAVAC
THL-91,VAC0024,PNEUMO 23
THL-49,VAC0025,PREVENAR
THL-39,VAC0031,ROTATEQ
THL-47,VAC0035,STAMARIL
THL-9,VAC0037,TETRAVAC-ACELLULAIRE
THL-33,VAC0038,"TICOVAC 0,5 mL"
THL-43,VAC0039,"TICOVAC 0,25 mL"
THL-55,VAC0041,TYPHIM VI
THL-1,VAC0042,VACCIN BCG SSI
THL-83,VAC0042,VACCIN BCG SSI
THL-17,VAC0044,CERVARIX
THL-10,VAC0046,ENGERIX B 20 µg
THL-21,VAC0047,FLUARIX
THL-13,VAC0049,HAVRIX 1440 U/1mL
THL-27,VAC0053,PRIORIX
THL-62,VAC0054,VACCIN RABIQUE PASTEUR
THL-14,VAC0057,TWINRIX 20 µg
THL-15,VAC0058,TWINRIX 10 µg
THL-44,VAC0059,TYPHERIX
THL-46,VAC0060,VARILRIX
THL-119,VAC0061,VARIVAX
THL-24,VAC0062,VAXIGRIP
THL-84,VAC0072,JE-VAX
THL-48,VAC0073,IXIARO
THL-41,VAC0079,ENCEPUR
THL-82,VAC0080,BCG PASTEUR
THL-35,VAC0083,SYNFLORIX
THL-32,VAC0108,PANDEMRIX
THL-57,VAC0123,PREVENAR 13
THL-56,VAC0140,INTANZA
THL-61,VAC0141,MENVEO
THL-144,VAC0161,ZOSTAVAX
THL-40,VAC0161,ZOSTAVAX
THL-124,VAC0170,AFLUNOV
THL-65,VAC0173,FLUENZ
THL-126,VAC0174,PROQUAD
THL-191,VAC0182,ADACEL
THL-75,VAC0191,ARILVAX
THL-53,VAC0195,BEGRIVAC
THL-12,VAC0227,EPAXAL
THL-196,VAC0230,FLUAD
THL-64,VAC0235,FLUVIRIN
THL-81,VAC0247,HIBTITER
THL-107,VAC0248,HINKUYS KAROKOE
THL-37,VAC0259,IMOVAX Rabies
THL-85,VAC0272,KAKSOISROKOTE DUBBELVACCIN
THL-87,VAC0275,LAVANTUU TIROKOTE
THL-88,VAC0286,M-M-R II
THL-34,VAC0336,PNEUMOVAX
THL-95,VAC0343,ProHIBiT
THL-110,VAC0359,RIMEVAX
THL-106,VAC0364,RUBEATEN BERNA PRODUCTS
THL-94,VAC0371,POLIO SABIN GSK
THL-96,VAC0380,"T.Polio, unspecified"
THL-101,VAC0390,TETRACT-HIB
THL-100,VAC0391,TETRAMUNE
THL-98,VAC0416,TRIVIRATEN
THL-45,VAC0451,VIVOTIF
THL-54,VAC0479,TRIAXIS
THL-63,VAC0486,NIMENRIX
THL-120,VAC0495,BEXSERO
THL-103,VAC0509,BIKEN
THL-38,VAC0514,ROTARIX
THL-6,VAC0515,INFANRIX-POLIO
THL-151,VAC0517,FLUARIXTETRA
THL-168,VAC0520,IMVANEX
THL-116,VAC0521,FLUENZ TETRA
THL-188,VAC0523,GARDASIL 9
THL-2,VAC0541,BOOSTRIX
THL-122,VAC0560,VAXIGRIPTETRA
THL-143,VAC0567,SHINGRIX
THL-5,VAC0568,BOOSTRIX-POLIO
THL-16,VAC0570,HIBERIX
THL-80,VAC0575,FSME-IMMUN
THL-125,VAC0582,TRUMENBA
THL-189,VAC0590,VACCIN BCG AJVACCINES
THL-121,VAC0593,VERORAB
THL-190,VAC0620,IXCHIQ
THL-59,VAC0635,PREFLUCEL
THL-176,VAC0644,QDENGA
THL-130,VAC0650,VAXZEVRIA ASTRAZENECA
THL-132,VAC0650,VAXZEVRIA ASTRAZENECA
THL-140,VAC0651,CORONAVAC COVID-19 VACCINE
THL-136,VAC0652,CONVIDECIA
THL-142,VAC0656,"SPIKEVAX 0,2 mg/mL MODERNA"
THL-131,VAC0666,JCOVDEN (ancien nom : JANSSEN COVID-19 VACCINE)
THL-158,VAC0666,JCOVDEN (ancien nom : JANSSEN COVID-19 VACCINE)
THL-152,VAC0667,NUVAXOVID
THL-135,VAC0670,SPOUTNIK V
THL-133,VAC0676,CUREVAC-RNA-COVID
THL-163,VAC0678,Medicago-VLP-Covid
THL-138,VAC0680,COVILO SINOPHARM COVID-19 VACCINE
THL-150,VAC0680,COVILO SINOPHARM COVID-19 VACCINE
THL-137,VAC0683,EPIVACCORONA
THL-154,VAC0685,VIDPREVTYN BETA
THL-166,VAC0691,FINLAY-FR-1
THL-155,VAC0714,"VACCIN CONTRE LA COVID-19 (INACTIVE, AVEC ADJUVANT) VALNEVA"
THL-145,VAC0752,COVISHIELD
THL-148,VAC0768,COVIVAC
THL-187,VAC0778,VAXCHORA
THL-185,VAC0780,VAXNEUVANCE
THL-147,VAC0783,R-COVI
THL-74,VAC0804,"Anthrax vaccine, unspecified"
THL-128,VAC0833,COMIRNATY 10 µg BIONTECH-PFIZER
THL-67,VAC0836,FLUAD TETRA
THL-153,VAC0837,COVOVAX SII
THL-134,VAC0838,COVOVAX NOVAVAX
THL-30,VAC0850,NEISVAC-C
THL-174,VAC0900,PREVENAR 20
THL-175,VAC0913,BIMERVAX
THL-97,VAC0920,"Diphtheria-tetanus Td vaccine, unspecified"
THL-26,VAC0921,"Japanese encephalitis vaccine, unspecified"
THL-104,VAC0935,VACCIN RABIQUE INACTIVE MERIEUX
THL-149,VAC0940,SPUTNIK-LIGHT
THL-167,VAC0966,JYNNEOS
THL-23,VAC0968,INFLEXAL V
THL-58,VAC0968,INFLEXAL V
THL-25,VAC0973,VIROFLU
THL-114,VAC0974,MENCEVAX AC
THL-127,VAC1011,DITEKIBOOSTER
THL-171,VAC1017,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.1 (50 µg/50 µg)/mL MULTIDOSE MODERNA
THL-129,VAC1019,"SPIKEVAX 0,1 mg/mL MODERNA"
THL-169,VAC1021,COMIRNATY ORIGINAL/OMICRON BA.1 (15/15 µg) BIONTECH-PFIZER
THL-170,VAC1023,COMIRNATY ORIGINAL/OMICRON BA.4-5 (15/15 µg) BIONTECH-PFIZER
THL-172,VAC1024,SPIKEVAX BIVALENT ORIGINAL/OMICRON BA.4-5 (50 µg/50 µg)/mL MODERNA
THL-165,VAC1026,SOBERANA 02 FINLAY-FR-2 COVID-19 VACCINE
THL-179,VAC1040,AREXVY
THL-139,VAC1044,"COVID-19 vaccine, whole virion inactivated, unspecified"
THL-159,VAC1044,"COVID-19 vaccine, whole virion inactivated, unspecified"
THL-178,VAC1047,ABRYSVO
THL-184,VAC1050,BEYFORTUS 100 MG (NIRSEVIMAB)
THL-177,VAC1051,PFIZER COMIRNATY-30 XBB.1.5
THL-181,VAC1055,NUVAXOVID XBB.1.5
THL-141,VAC1080,COVAXIN
THL-102,VAC1103,HIB-VAX
THL-146,VAC1106,"COVID-19 VLP vaccine, unspecified"
THL-197,VAC1254,CAPVAXIVE
THL-183,VAC1258,COMIRNATY JN.1 30 µg
THL-195,VAC1262,MRESVIA
THL-199,VAC1267,VIMKUNYA
THL-182,VAC1338,ZOONOTIC
THL-173,VAC1347,EFLUELDA
THL-115,VAC1463,FREEZE-DRIED BCG VACCINE JAPAN
THL-192,VAC1466,COMIRNATY LP.8.1 30 µg
THL-42,VAC1477,ENCEPUR N ENFANT
THL-71,VAC1488,POLIORIX
THL-4,VAC1494,DITEBOOSTER
THL-157,VAC1498,EPIVACCORONA-N
THL-156,VAC1499,SPUTNIK-M
THL-198,VAC1502,BIMERVAX LP.8.1
THL-117,VAC1504,TD-PUR
THL-162,VAC1505,SCTV01C
