UPC;NUVA;Label
UPC-349281545030;VAC0001;ACT-HIB
UPC-697177005053;VAC0001;ACT-HIB
UPC-697177000706;VAC0003;AVAXIM 160 U
UPC-697177004155;VAC0003;AVAXIM 160 U
UPC-697177004469;VAC0013;IMOVAX POLIO
UPC-349281790201;VAC0041;TYPHIM VI
UPC-349281790515;VAC0041;TYPHIM VI
UPC-349281589058;VAC0103;MENACTRA
UPC-697177004490;VAC0103;MENACTRA
UPC-697177005039;VAC0103;MENACTRA
UPC-697177004803;VAC0180;ACTACEL
UPC-349281400100;VAC0182;ADACEL
UPC-349281400209;VAC0182;ADACEL
UPC-697177000843;VAC0182;ADACEL
UPC-697177000850;VAC0182;ADACEL
UPC-697177005077;VAC0182;ADACEL
UPC-349281286100;VAC0211;DAPTACEL
UPC-349281405655;VAC0236;FLUZONE HIGH-DOSE
UPC-349281250514;VAC0259;IMOVAX Rabies
UPC-349281252518;VAC0259;IMOVAX Rabies
UPC-697177004261;VAC0259;IMOVAX Rabies
UPC-697177005329;VAC0259;IMOVAX Rabies
UPC-349281860102;VAC0268;IPOL
UPC-349281510052;VAC0328;PENTACEL
UPC-349281511059;VAC0328;PENTACEL
UPC-349281564154;VAC0348;QUADRACEL/HIBEST
UPC-349281915017;VAC0457;YF-VAX
UPC-697177005008;VAC0457;YF-VAX
UPC-349281215100;VAC0491;TENIVAC
UPC-349281215155;VAC0491;TENIVAC
UPC-697177004285;VAC0491;TENIVAC
UPC-349281190209;VAC0498;IMOGAM RAGE
UPC-697177000683;VAC0498;IMOGAM RAGE
UPC-349281605017;VAC0539;DENGVAXIA
UPC-697177004353;VAC0554;PEDIACEL
UPC-697177004445;VAC0554;PEDIACEL
UPC-697177004636;VAC0554;PEDIACEL
UPC-697177002670;VAC0591;VIVAXIM
UPC-349281590054;VAC0594;MENQUADFI
UPC-349281590108;VAC0594;MENQUADFI
UPC-697177005374;VAC0594;MENQUADFI
UPC-697177005398;VAC0594;MENQUADFI
UPC-349281225109;VAC0612;DTP-vax FINLAY
UPC-697177005169;VAC0639;ADACEL POLIO
UPC-349281120657;VAC0642;FLUZONE HIGH-DOSE QUADRIVALENT
UPC-349281121654;VAC0642;FLUZONE HIGH-DOSE QUADRIVALENT
UPC-349281122651;VAC0642;FLUZONE HIGH-DOSE QUADRIVALENT
UPC-349281123658;VAC0642;FLUZONE HIGH-DOSE QUADRIVALENT
UPC-349281124655;VAC0642;FLUZONE HIGH-DOSE QUADRIVALENT
UPC-349281322501;VAC0706;FLUZONE QUADRIVALENT
UPC-349281323508;VAC0706;FLUZONE QUADRIVALENT
UPC-349281419102;VAC0706;FLUZONE QUADRIVALENT
UPC-349281419508;VAC0706;FLUZONE QUADRIVALENT
UPC-349281420108;VAC0706;FLUZONE QUADRIVALENT
UPC-349281420504;VAC0706;FLUZONE QUADRIVALENT
UPC-349281421105;VAC0706;FLUZONE QUADRIVALENT
UPC-349281421501;VAC0706;FLUZONE QUADRIVALENT
UPC-349281422102;VAC0706;FLUZONE QUADRIVALENT
UPC-349281422508;VAC0706;FLUZONE QUADRIVALENT
UPC-349281423109;VAC0706;FLUZONE QUADRIVALENT
UPC-349281423505;VAC0706;FLUZONE QUADRIVALENT
UPC-349281424106;VAC0706;FLUZONE QUADRIVALENT
UPC-349281424502;VAC0706;FLUZONE QUADRIVALENT
UPC-349281519253;VAC0706;FLUZONE QUADRIVALENT
UPC-349281631153;VAC0706;FLUZONE QUADRIVALENT
UPC-349281633157;VAC0706;FLUZONE QUADRIVALENT
UPC-349281635151;VAC0706;FLUZONE QUADRIVALENT
UPC-349281637155;VAC0706;FLUZONE QUADRIVALENT
UPC-349281639159;VAC0706;FLUZONE QUADRIVALENT
UPC-349281641152;VAC0706;FLUZONE QUADRIVALENT
UPC-697177005336;VAC0706;FLUZONE QUADRIVALENT
