NUVA,label,comment,abstract
VAC['0001'],ACT-HIB,Haemophilus influenzae type b conjugate vaccine (tetanus protein conjugate),False
VAC['0002'],AGRIPPAL,"Trivalent inactivated seasonal influenza vaccine, egg-based, surface antigen",False
VAC['0003'],AVAXIM 160 U,"Inactivated hepatitis A vaccine, adult dose",False
VAC['0004'],D.T. POLIO MERIEUX,"Diphtheria toxoid (standard dose), tetanus toxoid and inactivated polio (trivalent) pediatric vaccine",False
VAC['0005'],DUKORAL,Oral cholera vaccine containing recombinant cholera toxin subunit B (rTCB) and inactivated bacteria with an adjuvant role,False
VAC['0006'],FLUVIRINE,"Trivalent inactivated seasonal influenza vaccine, egg-based, surface antigen",False
VAC['0007'],GARDASIL,"Human papillomavirus vaccine based on VLP (Virus Like Particles), quadrivalent (types 6, 11, 16 and 18), recombinant, adsorbed",False
VAC['0008'],GRIPGUARD,"Trivalent inactivated seasonal influenza vaccine, egg-based, surface antigen, adjuvanted",False
VAC['0009'],HBVAXPRO 10 µg,"Recombinant hepatitis B vaccine, adult dose",False
VAC['0010'],HBVAXPRO 40 µg,"Recombinant hepatitis B vaccine, dialysis patient dosage",False
VAC['0011'],HBVAXPRO 5 µg,"Recombinant hepatitis B vaccine, pediatric dose",False
VAC['0012'],IMMUGRIP,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0013'],IMOVAX POLIO,Inactivated polio (trivalent) vaccine,False
VAC['0014'],INFANRIX HEXA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 3 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid), inactivated polio (trivalent) and hepatitis B (recombinant) pediatric vaccine, adsorbed",False
VAC['0015'],INFANRIXQUINTA,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 3 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0016'],INFLUVAC,"Trivalent inactivated seasonal influenza vaccine, surface antigen, adult dose",False
VAC['0017'],M-M-RVAXPRO,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0018'],MENCEVAX ACWY,"Unconjugated meningococcal polysaccharide vaccine, serogroups A, C, W and Y",False
VAC['0019'],MENINGITEC,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False
VAC['0020'],MENJUGATEKIT 10 µg,"Meningococcal conjugate vaccine, serogroup C (conjugated to CRM197 Protein)",False
VAC['0021'],MUTAGRIP,"Trivalent inactivated seasonal influenza vaccine, split virion",False
VAC['0022'],NEISVAC,"Meningococcal conjugate vaccine, serogroup C (conjugated to tetanus toxoid)",False
VAC['0023'],PENTAVAC,"Diphtheria toxoid (standard dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, standard dose), Haemophilus influenzae type b (conjugated to tetanus toxoid) and inactivated polio (trivalent) pediatric vaccine, adsorbed",False
VAC['0024'],PNEUMO 23,"Unconjgated pneumococcal polysaccharide vaccine, 23-valent, serotypes 1, 2, 3, 4, 5, 6B, 7F, 8, 9N, 9V, 10A, 11A, 12F, 14, 15B, 17F, 18C, 19A, 19F, 20, 22F, 23F and 33F",False
VAC['0025'],PREVENAR,"Pneumococcal conjugate vaccine, 7-valent, adsorbed, serotypes 4, 6B, 9V, 14, 18C, 19F and 23F",False
VAC['0026'],PREVIGRIP,"Trivalent inactivated seasonal influenza vaccine, surface antigen",False
VAC['0027'],R.O.R. VAX,"Live attenuated measles, mumps and rubella vaccine",False
VAC['0028'],RABIPUR,"Whole virion inactivated rabies vaccine, Flury LEP strain, purified chick embryo cell vaccine (PCECV), inactivated with ß-propiolactone",False
VAC['0029'],REPEVAX,"Diphtheria toxoid (low dose), tetanus toxoid, pertussis (multicomponent acellular, 5 components, low dose) and inactivated polio (trivalent) vaccine, adsorbed",False
VAC['0030'],REVAXIS,"Diphtheria toxoid (low dose), tetanus toxoid and inactivated polio (trivalent) vaccine, adsorbed",False
