ATC,NUVA,atc_name,NUVA label,Scraped at 2026-04-25
ATC-J07,VOID,VACCINES,,
ATC-J07A,VOID,BACTERIAL VACCINES,,
ATC-J07AC,VOID,Anthrax vaccines,,
ATC-J07AC01,VAC0804,anthrax antigen,"Anthrax vaccine, unspecified",
ATC-J07AD,VOID,Brucellosis vaccines,,
ATC-J07AD01,VAC0162,brucella antigen,"Brucellosis vaccine, unspecified",
ATC-J07AE,VOID,Cholera vaccines,,
ATC-J07AE01,VAC1107,"cholera, inactivated, whole cell","Whole inactivated Cholera vaccine, unspecified",
ATC-J07AE02,VAC0806,"cholera, live attenuated","Live attenuated cholera vaccine, unspecified",
ATC-J07AE51,VAC0807,"cholera, combinations with typhoid vaccine, inactivated, whole cell","Cholera-Typhoid inactivated vaccine, unspecified",
ATC-J07AF,VOID,Diphtheria vaccines,,
ATC-J07AF01,VAC0655,diphtheria toxoid,"Diphtheria vaccine, unspecified",
ATC-J07AG,VOID,Haemophilus influenzae B vaccines,,
ATC-J07AG01,VAC0143,"haemophilus influenzae B, purified antigen conjugated","Haemophilus influenzae B (or Hib) vaccine, unspecified",
ATC-J07AG51,VAC0775,"haemophilus influenzae B, combinations with toxoids","DTwPHib, unspecified",
ATC-J07AG52,VAC0800,"haemophilus influenzae B, combinations with pertussis and toxoids","Diphtheria-tetanus-pertussis-Hib vaccine, unspecified",
ATC-J07AG53,VAC0798,"haemophilus influenzae B, combinations with meningococcus C, conjugated","Hib-MeningoC vaccine, unspecified",
ATC-J07AG54,VAC0808,"haemophilus influenza B, combinations with meningococcus C,Y, conjugated","Hib-MenCY, unspecified",
ATC-J07AH,VOID,Meningococcal vaccines,,
ATC-J07AH01,VAC0865,"meningococcus A, purified polysaccharides antigen","Polysaccharide meningococcal A vaccine, unspecified",
ATC-J07AH02,VAC0809,other meningococcal monovalent purified polysaccharides antigen,"Meningococcal monovalent polysaccharide vaccine, unspecified",
ATC-J07AH03,VAC0151,"meningococcus A,C, bivalent purified polysaccharides antigen","Meningococcal A + C vaccine, unspecified",
